fold,is_start,is_end,embargo_bars,oos_start,oos_end,cell,rule,front_size,feasible,param_n_atr,param_chi,param_u_enter,param_rho_base,param_lam,is_sharpe,is_sortino,is_max_drawdown,is_turnover,is_total_return,is_n_trades,is_psr,is_halted,oos_sharpe,oos_sortino,oos_max_drawdown,oos_turnover,oos_total_return,oos_n_trades,oos_psr,oos_halted
0,0,20554,1046,21600,28800,81,eps_constraint,12,12,21,1.5,0.3,0.0025,0.97,-48.31906929265786,-50.636087011655235,0.04129147861105398,2910.8720920291366,-0.040955489478841645,88.0,0.0,0.0,-21.88769627879327,-27.648672451494292,0.0035779502316000134,549.7111115633903,-0.0030909121836001363,22.0,0.005254261746625133,0.0
1,7200,27754,1046,28800,36000,11,eps_constraint,7,7,7,1.5,0.3,0.005,0.97,-43.31789063945772,-46.0087942208414,0.026864411616518424,1783.3635803721293,-0.026410471960518378,74.0,0.0,0.0,-34.72145681576186,-36.507420251024556,0.008533237841852448,1415.8156791502242,-0.008271776601999958,21.0,6.607811520176199e-10,0.0
2,14400,34954,1046,36000,43200,83,eps_constraint,9,9,21,1.5,0.3,0.005,0.97,-37.77390703679606,-40.38499080132876,0.025894442727554368,1683.354521680051,-0.025534619410943926,68.0,0.0,0.0,-49.92787755964074,-51.12340080984271,0.015691148074799988,2509.285679091896,-0.015691148074799988,26.0,0.0,0.0
3,21600,42154,1046,43200,50400,59,eps_constraint,4,4,14,2.0,0.3,0.005,0.97,-36.76445111752569,-39.354471221810776,0.02045355740403998,1165.3554611267539,-0.02045355740403998,59.0,0.0,0.0,-27.650588533984788,-31.91240325562288,0.007719249669599915,1540.9320700336816,-0.007719249669599915,18.0,0.00018703229882238714,0.0
4,28800,49354,1046,50400,57600,59,eps_constraint,7,7,14,2.0,0.3,0.005,0.97,-37.46487496925866,-40.251350945853176,0.027514565411927316,1577.4951863062804,-0.02698412302472719,52.0,0.0,0.0,-33.16514930945642,-36.88656805445112,0.0079659422227496,1544.159449229887,-0.007734108975200105,21.0,2.6585629263053967e-06,0.0
5,36000,56554,1046,57600,64800,71,eps_constraint,2,2,14,2.5,0.3,0.005,0.97,-33.03525044845764,-36.1328673681216,0.016378028734399974,1109.8649427114897,-0.016378028734399974,56.0,2.220446049250313e-16,0.0,-39.34605463968323,-39.528563554143126,0.007481469441599997,1276.6720029823466,-0.007481469441599997,16.0,0.0,0.0
