fold,cell,n_atr,chi,u_enter,rho_base,lam,sharpe,max_drawdown,turnover,total_return,n_trades,psr,halted,on_front,feasible,selected,config_hash
0,22,7,2.0,0.3,0.005,0.94,-83.73332882324328,0.11810219983476011,7999.112475486657,-0.11799570443825613,332.0,0.0,0.0,0,0,0,43288fafe57f3dc0fbe4eb5b2a5abd1eabdb9554af8eb2fddc1a7010d9378630
0,23,7,2.0,0.3,0.005,0.97,-83.86265612811613,0.11105845408415782,7523.8680788652155,-0.1109565846358107,332.0,0.0,0.0,0,0,0,1f8119b209c5c0a7b017bf845aa5c4febdc1ba74db12389b4870239549ab8b60
0,24,7,2.5,0.2,0.0025,0.94,-88.89134208605594,0.12004174816387736,8793.51562953418,-0.11964822920256557,429.0,0.0,1.0,0,0,0,0912a91152ec0bc4564a7e2f805586b71a9b88bd5c4af4cf3beb63a50b2d3b43
0,25,7,2.5,0.2,0.0025,0.97,-91.66654114230892,0.1200882495248411,8700.816619756806,-0.11969475135902408,453.0,0.0,1.0,0,0,0,65b02b60d0457c518e7b8bacc28954d0a2f7aa728208d8a103ffc841915da6d1
0,26,7,2.5,0.2,0.005,0.94,-83.60815735622272,0.12012271807844865,8860.91312261995,-0.11963715687443743,373.0,0.0,1.0,0,0,0,10ef4212d5a2d61e090ec6f6a3fcfa1bc659edcca5fb4553ef06cedb608269de
0,27,7,2.5,0.2,0.005,0.97,-87.27583184428673,0.12007185319026703,8931.294503090647,-0.11963722773807295,410.0,0.0,1.0,0,0,0,1e28a59c4894a92e1fe7787687eee5558bf231fb50efa54cba3a3f7c5a29f5ef
0,28,7,2.5,0.25,0.0025,0.94,-84.69639788089074,0.12010617194663231,8512.847766579582,-0.11971268179575567,354.0,0.0,1.0,0,0,0,475b25b6430005670f34617a95aec8128064995c28109cf719537ed3b6f3ac3a
0,29,7,2.5,0.25,0.0025,0.97,-87.81649758636955,0.12012305963408187,8534.42117021552,-0.11972957703541032,385.0,0.0,1.0,0,0,0,f600674e9c8298ddc5d837935e3d84e5dfd068cbe935dcd3faa08cbb76a0b474
0,30,7,2.5,0.25,0.005,0.94,-83.51004585792566,0.12015432391445358,8476.449123230816,-0.1196687801521562,364.0,0.0,1.0,0,0,0,ef7cb513e9c620e5aba6dfc2c8bab74f79bdfeb1662db14f6a8393c90f6e65c4
0,31,7,2.5,0.25,0.005,0.97,-85.9402976560639,0.12014772071310309,8511.103451891033,-0.11971313273437367,375.0,0.0,1.0,0,0,0,fa965213c9b5f521b702242f1705ab870930a79cc398ab01771868c25498b495
0,32,7,2.5,0.3,0.0025,0.94,-81.05147189120011,0.11502038902681122,7811.49992850968,-0.11491352147985634,326.0,0.0,0.0,0,0,0,407cc7c283dcdae2751b39f3566e2ebd8ddf5a4c88e84bced56acfd72509a259
0,33,7,2.5,0.3,0.0025,0.97,-79.55318658422539,0.1099499768634905,7511.372682844452,-0.10984798038771004,326.0,0.0,0.0,1,0,0,bdfa3fef3871f8bbd188a2ee0326489e224a49b5e4e06ca096633f92842938ee
0,34,7,2.5,0.3,0.005,0.94,-80.55050729192705,0.1163101624638957,7926.833320892001,-0.11620345066620519,326.0,0.0,0.0,0,0,0,58598efb97f3ff09383aea72d396b6805745f82eb7875eab95fd6489f3dd5a61
0,35,7,2.5,0.3,0.005,0.97,-80.73693285855039,0.10957525140579738,7434.838685281574,-0.10947321198785065,326.0,0.0,0.0,1,0,1,aa4fed5caeaddcde10b9b605c581b7a4194ba57a174172463ef91c13b017c132
0,36,14,1.5,0.2,0.0025,0.94,-83.8533360860323,0.1201770072173809,9127.938877730412,-0.1196914759728881,382.0,0.0,1.0,0,0,0,a22c5193ab2673aadbfaba0dd1e46b59fc9bdaedd3cbd0f83a245ac06c994a95
0,37,14,1.5,0.2,0.0025,0.97,-88.10793021477586,0.12011086186075526,8985.225132511778,-0.11967625567622653,414.0,0.0,1.0,0,0,0,ecf3dce3f49e2faea9a1aaeea71bfdd75252ed32fc465173788e2864138e1618
0,38,14,1.5,0.2,0.005,0.94,-83.51610912063387,0.12009515063258513,9086.090577384331,-0.11960957421544993,382.0,0.0,1.0,0,0,0,0c20492fba377b8c7fd9d3705bd4e231b97af908f96a8895ed28b40f26033308
0,39,14,1.5,0.2,0.005,0.97,-87.90376180830323,0.12001682704096484,8976.449725221533,-0.11958217440954577,412.0,0.0,1.0,0,0,0,38edee8b85d745a64c4f3a0ca69596e16e0ce5ed791e871a5a3904fc651b3e2d
