fold,is_start,is_end,embargo_bars,oos_start,oos_end,cell,rule,front_size,feasible,param_n_atr,param_chi,param_u_enter,param_rho_base,param_lam,is_sharpe,is_sortino,is_max_drawdown,is_turnover,is_total_return,is_n_trades,is_psr,is_halted,oos_sharpe,oos_sortino,oos_max_drawdown,oos_turnover,oos_total_return,oos_n_trades,oos_psr,oos_halted
0,0,20554,1046,21600,28800,107,eps_constraint,4,4,21,2.5,0.3,0.005,0.97,-51.16310046519908,-53.398330455227374,0.05011731669721031,3445.7873277384356,-0.04979661142400005,87.0,0.0,0.0,-13.288634714758306,-18.356589349437183,0.002961410308000123,891.5200408080591,-0.002961410308000123,20.0,0.06711005863207553,0.0
1,7200,27754,1046,28800,36000,94,eps_constraint,5,5,21,2.0,0.3,0.005,0.94,-36.83501806964881,-40.21599905922177,0.03203087072800004,2246.3506427744232,-0.030475655844000027,75.0,5.551115123125783e-17,0.0,-33.487412999742844,-35.392822356435396,0.00868466684479463,1375.1724031081844,-0.008354982415999967,20.0,4.202331815861271e-09,0.0
2,14400,34954,1046,36000,43200,95,eps_constraint,5,5,21,2.0,0.3,0.005,0.97,-31.450792512551555,-34.749630968913635,0.025328107348000062,1806.808980580984,-0.025328107348000062,63.0,6.850076061937216e-13,0.0,-38.20379909391566,-40.803291580626876,0.012025890578443832,2526.229313178455,-0.011739426615999915,27.0,1.485564449232868e-10,0.0
3,21600,42154,1046,43200,50400,94,eps_constraint,8,8,21,2.0,0.3,0.005,0.94,-24.17349812911527,-29.27349756384668,0.01490328411834052,1143.994498395706,-0.014394008168000072,64.0,5.408891438518637e-06,0.0,-44.86825592227574,-48.97000673798482,0.017835332699975948,3321.4494287778416,-0.017600042484000045,30.0,1.7020339582174415e-09,0.0
4,28800,49354,1046,50400,57600,83,eps_constraint,10,10,21,1.5,0.3,0.005,0.97,-36.78656383698738,-39.172439453361584,0.036548795600186756,2557.360342596991,-0.036514070256000064,73.0,0.0,0.0,-37.32149840288262,-39.34177009203092,0.010216632120000013,1991.955888539433,-0.010216632120000013,21.0,8.748979318795591e-11,0.0
5,36000,56554,1046,57600,64800,82,eps_constraint,9,9,21,1.5,0.3,0.005,0.94,-37.01235308100338,-38.69634036870035,0.028063777288000025,2013.1306885002145,-0.028063777288000025,74.0,0.0,0.0,-35.33878492864229,-39.14164739483711,0.008635121780000032,1686.9242405358739,-0.008635121780000032,23.0,2.114707326583698e-06,0.0
