fold,cell,n_atr,chi,u_enter,rho_base,lam,sharpe,max_drawdown,turnover,total_return,n_trades,psr,halted,on_front,feasible,selected,config_hash
0,22,7,2.0,0.3,0.005,0.94,-54.49722444005787,0.05321058945613999,3728.815008310522,-0.052921534384000046,95.0,0.0,0.0,0,0,0,9dcfee7340657767367920bf5693135bb10f6457e8cc14819790e42b3ede7fe2
0,23,7,2.0,0.3,0.005,0.97,-54.50618419599405,0.05252978899537497,3696.706283316272,-0.052209898235999974,95.0,0.0,0.0,0,0,0,cf07fc09d096b66dc61c67e423641520839bc160683e7829fb82e1f9787b8094
0,24,7,2.5,0.2,0.0025,0.94,-103.58759340912046,0.12008518987794903,8462.419314517603,-0.12008518987794903,420.0,0.0,1.0,0,0,0,019aaaf1d52da8ee7bd4ef0ab21bb6c91615e9fac34d74fa04ecaece9dbea629
0,25,7,2.5,0.2,0.0025,0.97,-102.00026523966298,0.12003224317394912,8380.975338780929,-0.12003224317394912,423.0,0.0,1.0,0,0,0,bcb0c23004490baa9a9b5e0ae4053df39b876e2bb70bb23899175617925d2ba4
0,26,7,2.5,0.2,0.005,0.94,-93.96438971050182,0.12036194064220385,8404.759459888355,-0.12036194064220385,319.0,0.0,1.0,0,0,0,934d58710a3efb06efe329c806e2b7a1575273d870e822612ce9f19d9d589b42
0,27,7,2.5,0.2,0.005,0.97,-92.72420529438742,0.1200957025455851,8411.354299621747,-0.1200957025455851,326.0,0.0,1.0,0,0,0,a5479f93bab1fb7ab7b45f716f2ad52315c46fa8f856a631add288f0dd2cbe25
0,28,7,2.5,0.25,0.0025,0.94,-87.96029282753038,0.10848140628290748,7526.646644547821,-0.10847515628290749,252.0,0.0,0.0,0,0,0,12b70b7742decdf5372a25e48a5b5ea10fa45e5185eb4427fb02263ebb1f066c
0,29,7,2.5,0.25,0.0025,0.97,-87.87543742331854,0.10806925701490744,7510.018792100495,-0.10806300701490745,252.0,0.0,0.0,0,0,0,789638469eccb02464ecedf25bea736ee8611c88970db9f8d970ef8d62021bb2
0,30,7,2.5,0.25,0.005,0.94,-88.31118909256145,0.11147710915817988,7781.069294516829,-0.11146935915817979,252.0,0.0,0.0,0,0,0,679179cdd29c48ce00474ce9ad1c9d8d509cae13aedb4ef8a5ccf846148a1e56
0,31,7,2.5,0.25,0.005,0.97,-87.32039087957209,0.11176605987817989,7822.246754925041,-0.11175780987817985,252.0,0.0,0.0,0,0,0,15a4c36cafdbc53bf753892adc00af39c69cad5dae3b712dfe29d167f183be8e
0,32,7,2.5,0.3,0.0025,0.94,-55.071103668899525,0.05294330550600479,3657.180349423614,-0.052654168831999915,94.0,0.0,0.0,0,0,0,4021dfaa1dfa6d5369fcbcd22bb3dc40c22959829186ecea395e73b74f962ed0
0,33,7,2.5,0.3,0.0025,0.97,-55.190451688956024,0.052809406553163796,3663.6669380970006,-0.05248961020000009,94.0,0.0,0.0,0,0,0,6c8e493607258e964effc33d598d0d72d62b768d65509350307500b34cb4648b
0,34,7,2.5,0.3,0.005,0.94,-54.79265502303459,0.05345093098380427,3702.2767395974806,-0.053161949288,94.0,0.0,0.0,0,0,0,f301b2b8588933279918425cdc07456715fb7b7d43b8251bb555a497d1bb1084
0,35,7,2.5,0.3,0.005,0.97,-55.03836174043077,0.05329908270966777,3711.2178942526,-0.05297945168399998,94.0,0.0,0.0,0,0,0,fce73c822d074fa75f538db5ca78272fc0778a7cbe350711c86bab5357aeeaa9
0,36,14,1.5,0.2,0.0025,0.94,-94.88881883636857,0.12001273824727177,8530.477489911807,-0.12001273824727177,330.0,0.0,1.0,0,0,0,cfc7c6f86884075e761c99da4275c7242eefb8e387fef0bff7559be3fd67b047
0,37,14,1.5,0.2,0.0025,0.97,-92.98370863855352,0.12011134284727176,8492.547075147171,-0.12011134284727176,329.0,0.0,1.0,0,0,0,4fcfdf95815230a9aac1c81ff39635a17be3a9e3029dbb5c37ab3faee65a5a06
0,38,14,1.5,0.2,0.005,0.94,-93.8250910504139,0.1201202136912718,8502.125178881879,-0.1201202136912718,325.0,0.0,1.0,0,0,0,442f0c5f08dfc9da47abb7e9d7d93e379b5b6b53b2bceffd960980192ff9e90f
0,39,14,1.5,0.2,0.005,0.97,-91.40744766406942,0.12006695708727189,8556.189696468375,-0.12006695708727189,326.0,0.0,1.0,0,0,0,88de1820c138dc25ece47d5be07638d8048e122f8805280e7c59e4ffd2610f8f
0,40,14,1.5,0.25,0.0025,0.94,-86.85025241736543,0.10869227905017975,7644.9891829883845,-0.10868452905017989,251.0,0.0,0.0,0,0,0,c1e3541215231eca6a8dbfe65fe16815507e7e6986c520f3d1c252c111a41882
0,41,14,1.5,0.25,0.0025,0.97,-85.49846874689462,0.10863652763417975,7637.021783886744,-0.1086282776341797,251.0,0.0,0.0,0,0,0,5e5376e473ccd8cdf2f26d35c1b9ef8d66bf8807b190fcb9d21ad8bd3bf521c2
0,42,14,1.5,0.25,0.005,0.94,-86.84543867950096,0.10869268269017973,7645.711105141901,-0.10868493269017976,251.0,0.0,0.0,0,0,0,caf7541c3d36d6c67895360b55174914103c59c4dc262e9c610867047e43e106
0,43,14,1.5,0.25,0.005,0.97,-85.46053424649833,0.10862787577017985,7640.572092668318,-0.1086196257701798,251.0,0.0,0.0,0,0,0,a8d699d6f7f19d0d2a1b6208e3803bf2b4feb211173486b6116607a56fbcc676
0,44,14,1.5,0.3,0.0025,0.94,-54.76434788411159,0.05490969998921846,3840.3089000279756,-0.054621163656000005,97.0,0.0,0.0,0,0,0,d0e1b7b9fee2ab55d6dd8e81247e340c83da05a69c38ad424a784334f9c82128
0,45,14,1.5,0.3,0.0025,0.97,-54.904981898003484,0.05426145673499039,3808.3931800625446,-0.05394215063200003,97.0,0.0,0.0,0,0,0,3af778fc65441bdab7d9a3ef1f77c00da596e3e7fb124e9bc556dca63f8b8d86
0,46,14,1.5,0.3,0.005,0.94,-54.76434788411159,0.05490969998921846,3840.3089000279756,-0.054621163656000005,97.0,0.0,0.0,0,0,0,2960aef0deb0d93ccba496a6b34c0204c7bb30fbb127a5da4fcd684c7c3284dd
0,47,14,1.5,0.3,0.005,0.97,-54.904981898003484,0.05426145673499039,3808.3931800625446,-0.05394215063200003,97.0,0.0,0.0,0,0,0,376f1692a75dfedbdfec6751397a83b79a310b80224529fa4076b2e12de5eb78
0,48,14,2.0,0.2,0.0025,0.94,-97.85399970159972,0.12000848583127177,8471.367622593538,-0.12000848583127177,362.0,0.0,1.0,0,0,0,f6f25f17239f320782d65e1a61c1d50e34aeea431acefd32c4c114c5ecd61492
0,49,14,2.0,0.2,0.0025,0.97,-95.26638673383239,0.12000736798727174,8514.046418803213,-0.12000736798727174,368.0,0.0,1.0,0,0,0,0a3ec8df84240157743c126ebc86a9ec11a022443c8a604e2703ab5a45bddde8
