fold,is_start,is_end,embargo_bars,oos_start,oos_end,cell,rule,front_size,feasible,param_n_atr,param_chi,param_u_enter,param_rho_base,param_lam,is_sharpe,is_sortino,is_max_drawdown,is_turnover,is_total_return,is_n_trades,is_psr,is_halted,oos_sharpe,oos_sortino,oos_max_drawdown,oos_turnover,oos_total_return,oos_n_trades,oos_psr,oos_halted
0,0,20554,1046,21600,28800,69,fallback_min_dd,5,0,14,2.5,0.3,0.0025,0.97,-81.03032001513377,-86.31466395625492,0.1144927776528839,8767.928025997458,-0.11446912440488399,297.0,0.0,0.0,-61.06356369076927,-68.73602721508959,0.03008506782999998,5771.02142205495,-0.03008506782999998,117.0,0.0,0.0
1,7200,27754,1046,28800,36000,33,fallback_min_dd,2,0,7,2.5,0.3,0.0025,0.97,-80.54081002135253,-84.19335179486278,0.09695199552283484,7315.216490172251,-0.09695199552283484,302.0,0.0,0.0,-76.55175622912272,-87.10636894238377,0.05270587680265215,9896.979565887092,-0.052207925513065856,138.0,0.0,0.0
2,14400,34954,1046,36000,43200,33,fallback_min_dd,2,0,7,2.5,0.3,0.0025,0.97,-73.2533147026456,-78.89336682522863,0.0898539757425797,6541.792766359947,-0.08982058574257967,312.0,0.0,0.0,-85.82489363133337,-91.15038554067532,0.047249994655999994,8987.292002691676,-0.047249994655999994,111.0,0.0,0.0
3,21600,42154,1046,43200,50400,33,fallback_min_dd,10,0,7,2.5,0.3,0.0025,0.97,-73.77608488103992,-81.75513198522688,0.08793353264192161,5969.73341577241,-0.08793353264192161,338.0,0.0,0.0,-86.46463261108217,-91.83714430816157,0.0563888423079999,10919.708338428632,-0.0563888423079999,113.0,0.0,0.0
4,28800,49354,1046,50400,57600,33,fallback_min_dd,3,0,7,2.5,0.3,0.0025,0.97,-73.68171260436988,-82.82959873302865,0.09806208411814832,7171.854596193216,-0.09803278322906572,329.0,0.0,0.0,-84.21522643115878,-89.67169755394553,0.05090644649950715,9594.917797779213,-0.05090644649950715,107.0,0.0,0.0
5,36000,56554,1046,57600,64800,33,fallback_min_dd,2,0,7,2.5,0.3,0.0025,0.97,-80.12369109906471,-84.58257121337,0.09510127679032954,6817.129957714536,-0.09510127679032954,306.0,0.0,0.0,-64.37578169759298,-71.05963275697322,0.029838272888000006,5759.410391792729,-0.029838272888000006,86.0,0.0,0.0
