fold,is_start,is_end,embargo_bars,oos_start,oos_end,cell,rule,front_size,feasible,param_n_atr,param_chi,param_u_enter,param_rho_base,param_lam,is_sharpe,is_sortino,is_max_drawdown,is_turnover,is_total_return,is_n_trades,is_psr,is_halted,oos_sharpe,oos_sortino,oos_max_drawdown,oos_turnover,oos_total_return,oos_n_trades,oos_psr,oos_halted
0,0,20554,1046,21600,28800,35,fallback_min_dd,2,0,7,2.5,0.3,0.005,0.97,-80.73693285855039,-86.09357789513864,0.10957525140579738,7434.838685281574,-0.10947321198785065,326.0,0.0,0.0,-58.63635890062557,-67.35594616853034,0.027707394914272987,5093.282936818738,-0.027521945519635826,130.0,1.3322676295501878e-15,0.0
1,7200,27754,1046,28800,36000,33,fallback_min_dd,2,0,7,2.5,0.3,0.0025,0.97,-80.83783549253575,-85.36432689538118,0.09436811525399424,6622.028950796392,-0.09436811525399424,335.0,0.0,0.0,-68.3478519366937,-78.91725935669683,0.05104270636213648,9539.296634260845,-0.05075596900767543,154.0,0.0,0.0
2,14400,34954,1046,36000,43200,33,fallback_min_dd,4,0,7,2.5,0.3,0.0025,0.97,-71.85881895386468,-78.76372344509836,0.0878628377821028,6039.647879364447,-0.08763643451435588,351.0,0.0,0.0,-75.51106855272121,-81.81275544962196,0.041083208768784574,7382.414035325986,-0.04063424174079988,96.0,0.0,0.0
3,21600,42154,1046,43200,50400,21,fallback_min_dd,11,0,7,2.0,0.3,0.0025,0.97,-66.24328110346384,-75.5146394965601,0.08249443479371199,5756.963868521815,-0.08245451760354894,363.0,0.0,0.0,-78.40282452914253,-84.77332768329443,0.05448726443239993,10276.302748245631,-0.05448726443239993,121.0,0.0,0.0
4,28800,49354,1046,50400,57600,21,fallback_min_dd,11,0,7,2.0,0.3,0.0025,0.97,-65.95810609495017,-74.8390275307403,0.09223749424702887,6720.888522558814,-0.09221629324702896,342.0,0.0,0.0,-72.27752229198511,-81.96535585076063,0.047695758741600036,9170.026020334188,-0.047695758741600036,121.0,0.0,0.0
5,36000,56554,1046,57600,64800,33,fallback_min_dd,6,0,7,2.5,0.3,0.0025,0.97,-71.90245615848377,-79.13071071293972,0.08520970032487207,5807.991422561022,-0.08520970032487207,300.0,0.0,0.0,-66.98348635622033,-77.9465453042122,0.03512516885719996,6626.674849801188,-0.03512516885719996,107.0,1.1102230246251565e-16,0.0
