variant,label,scope,sharpe,sharpe_fold_mean,total_return,max_drawdown,turnover,fees,funding,slippage_cost,gross_pnl,n_trades,n_fills,fees_per_day_pct,psr,exposure,days,n_segments,halted_segments,share_halted,share_cooldown,config_hash,note
zero,zero (без витрат),oos,6.660310666960891,6.5076743396623336,0.024857046400702076,0.00646412656652029,21077.287555771032,0.0,0.0,0.0,247.1031,1376,2686,0.0,0.9727370615342508,0.08673611111111111,29.995833333333337,6,0,0.0,0.0,369fdee9dd2a620e0816183d43ffbd0e0558e1f7bd39ef6a2ac8997dfe8d0931,
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,1.3793298813016335,1.5953244157278628,0.005148227498381175,0.010609604883829782,20398.853048208322,0.0,0.0,140.881384642124,52.602599999999995,1351,2632,0.0,0.6538819722960743,0.09030092592592592,29.995833333333337,6,0,0.0,0.0,4596aafadfc6f045490f769283cccfcb49103f3840e094dc33ea39eba4326dd4,
full,full (√-імпакт + комісії + фандинг),oos,-76.64206397031191,-76.41597571517654,-0.23902234075174167,0.23902234075174167,8478.444860542906,2723.59997136,-0.16027441427,47.467256338761004,56.6742,672,1313,0.9079927672265592,0.0,0.054699074074074074,29.995833333333337,6,0,0.0,0.003148148148148148,48e2a5d88b321d31c7b415370de5ed6505a2af4175883ddb245fbdcf9dfaa1c6,
