variant,label,scope,sharpe,sharpe_fold_mean,total_return,max_drawdown,turnover,fees,funding,slippage_cost,gross_pnl,n_trades,n_fills,fees_per_day_pct,psr,exposure,days,n_segments,halted_segments,share_halted,share_cooldown,config_hash,note
zero,zero (без витрат),oos,0.5367563891604615,1.069281656532472,0.0022371630118016572,0.012165068170418292,19796.41012720736,0.0,0.0,0.0,20.201449999999998,1562,3018,0.0,0.5611575446672781,0.10567129629629629,29.995833333333337,6,0,0.0,0.0,369fdee9dd2a620e0816183d43ffbd0e0558e1f7bd39ef6a2ac8997dfe8d0931,
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,-0.7114043712351764,-0.6758400692377768,-0.0028683853862602193,0.013433005176094137,15928.883069798441,0.0,0.0,129.19308740571398,-30.228069999999995,1245,2411,0.0,0.419228527052504,0.08608796296296296,29.995833333333337,6,0,0.0,0.0,4596aafadfc6f045490f769283cccfcb49103f3840e094dc33ea39eba4326dd4,
full,full (√-імпакт + комісії + фандинг),oos,-69.62125841479919,-70.0265187612314,-0.23059327591005774,0.2307400000551989,7977.2355007207225,2572.9061161,0.16801689311419998,48.0659352313106,10.87065,729,1412,0.857754504603417,0.0,0.06199074074074074,29.995833333333337,6,0,0.0,0.0,48e2a5d88b321d31c7b415370de5ed6505a2af4175883ddb245fbdcf9dfaa1c6,
