open_time_ms,close,rsi14
1789430400000,78166.2,
1789430460000,78192.1,
1789430520000,78192.1,
1789430580000,78184.1,
1789430640000,78139.9,
1789430700000,78116.1,
1789430760000,78108.0,
1789430820000,78145.1,
1789430880000,78163.8,
1789430940000,78222.5,
1789431000000,78179.5,
1789431060000,78102.6,
1789431120000,78110.1,
1789431180000,78096.2,
1789431240000,78088.4,39.587794432548364
1789431300000,78100.0,41.54247688874823
1789431360000,78074.6,38.59756792162847
1789431420000,78064.4,37.4494767431485
1789431480000,78040.1,34.7941756364599
1789431540000,78015.0,32.2505278192405
1789431600000,78006.1,31.37467597853359
1789431660000,78022.5,34.8839738572444
1789431720000,78010.7,33.55441272520888
1789431780000,78031.3,37.99727672823423
1789431840000,78006.9,35.011135390334545
1789431900000,77997.5,33.905650824440016
1789431960000,78030.7,40.99243338125836
1789432020000,77981.3,34.98203338496835
1789432080000,77961.1,32.86034821323334
1789432140000,77986.2,37.90036490594986
1789432200000,77992.2,39.07767687264204
1789432260000,77989.3,38.69582227779538
1789432320000,77972.0,36.41009761044369
1789432380000,77979.0,38.005784311966444
1789432440000,78006.3,43.916546746143545
1789432500000,78046.2,51.23465116254572
1789432560000,78000.0,44.064810206017185
1789432620000,77977.9,41.101746452591144
1789432680000,77977.8,41.088282905492186
1789432740000,77968.6,39.79671007669462
1789432800000,77965.6,39.36220145510035
1789432860000,77993.2,45.281348435495396
1789432920000,77924.1,35.846823708090014
1789432980000,77952.4,41.246041878719595
1789433040000,77937.5,39.36744143972405
1789433100000,77975.1,46.045716883822614
1789433160000,77925.0,39.76144262895037
1789433220000,77925.1,39.77910951556674
1789433280000,77923.0,39.51700562583431
1789433340000,77960.1,46.254519291906725
1789433400000,77962.1,46.59986139450238
1789433460000,77971.3,48.247203924464216
1789433520000,77961.0,46.51703836121194
1789433580000,77956.2,45.69466374662847
1789433640000,77922.9,40.36336863558877
1789433700000,77954.8,46.770330514596765
1789433760000,77936.4,43.84439379540082
1789433820000,77915.3,40.69999136729521
1789433880000,77929.9,43.708307309031795
1789433940000,77928.5,43.480523257330695
1789434000000,77864.0,34.547600527509545
1789434060000,77847.7,32.718231948137344
1789434120000,77840.0,31.85997647578273
1789434180000,77805.1,28.243654949114514
1789434240000,77797.6,27.52071565811363
1789434300000,77793.4,27.102345670520705
1789434360000,77805.0,30.25590929602403
1789434420000,77776.8,27.17783751160711
1789434480000,77778.4,27.62771717731826
1789434540000,77729.2,22.9355654471628
1789434600000,77771.9,33.492653048264074
1789434660000,77814.3,41.99055139064958
1789434720000,77826.1,44.13009277843669
1789434780000,77812.4,42.18473055873963
1789434840000,77797.1,40.0607977332008
1789434900000,77815.7,43.767430999148615
1789434960000,77838.7,48.04589701358438
1789435020000,77865.2,52.52760942911581
1789435080000,77834.5,47.42376583965739
1789435140000,77843.0,48.90410412826708
1789435200000,77881.6,55.08831021755444
1789435260000,77876.1,54.08386620592011
1789435320000,77964.3,65.07982826715926
1789435380000,77967.5,65.40354533099256
1789435440000,77987.7,67.4545452378687
1789435500000,77966.8,63.274848622461505
1789435560000,77914.3,54.19120567482198
1789435620000,77856.1,46.26243600023986
1789435680000,77781.4,38.48031606647834
1789435740000,77829.1,44.85893993852463
1789435800000,77836.1,45.74792325392595
1789435860000,77904.2,53.587416619077764
1789435920000,77971.6,59.78172146619217
1789435980000,77950.0,57.14935294857118
1789436040000,77921.0,53.72866652804749
1789436100000,77926.9,54.327621633187476
1789436160000,77918.3,53.2456948366299
1789436220000,77914.7,52.77192343578032
1789436280000,77945.4,56.33965418602693
1789436340000,77945.8,56.385884323329805
1789436400000,77931.0,54.10319235448152
1789436460000,77940.6,55.36543379437305
1789436520000,77935.9,54.57410335396388
1789436580000,77965.6,58.60084627096148
1789436640000,77976.4,59.989754653528784
1789436700000,77931.1,52.09502099677108
1789436760000,77958.8,55.91545749753082
1789436820000,77960.9,56.200640932666055
1789436880000,77979.9,58.79768076139618
1789436940000,78031.3,64.86676537266553
1789437000000,78002.5,59.57187636161434
1789437060000,77938.5,49.83647042024479
1789437120000,77951.7,51.59356260478483
1789437180000,77956.0,52.18116647311462
1789437240000,77939.6,49.703034094450906
1789437300000,77975.7,54.7924687982267
1789437360000,77957.5,51.939018159051145
1789437420000,77890.0,42.9958209241419
1789437480000,77888.1,42.77256710289058
1789437540000,77888.2,42.78940470354162
1789437600000,77875.7,41.159216538552066
1789437660000,77895.7,44.7839140948141
1789437720000,77933.4,50.921287252983134
1789437780000,77919.0,48.69487299433405
1789437840000,77904.6,46.50513480831716
1789437900000,77905.6,46.68443681369613
1789437960000,77871.6,41.58132615335429
1789438020000,77862.4,40.29770527606766
1789438080000,77909.9,49.04400210988986
1789438140000,77940.0,53.67530636999143
1789438200000,77925.0,51.1789377376738
1789438260000,77964.9,56.918646355508194
1789438320000,77970.1,57.617972050708275
1789438380000,77964.8,56.609333881111695
1789438440000,77957.1,55.10019196647436
1789438500000,77930.4,50.11152120323157
1789438560000,77959.7,54.93351311550542
1789438620000,77932.1,50.02819481540379
1789438680000,77909.6,46.39134860499235
1789438740000,77903.6,45.44265233798144
1789438800000,77878.5,41.609227104640574
1789438860000,77884.2,42.789506530691
1789438920000,77925.3,50.55106919447234
1789438980000,77932.2,51.73492394571072
1789439040000,77946.6,54.19932550204847
1789439100000,77978.0,59.10300137142888
1789439160000,77975.8,58.62936744141542
1789439220000,77962.2,55.659912750730214
1789439280000,77909.0,45.87243671101689
1789439340000,77919.2,47.768841621509694
1789439400000,77902.0,44.911370430129175
1789439460000,77913.0,47.09115875660038
