scope,variant,n_trades,n_fills,fills_per_day,fills_per_bar,notional_per_fill_over_equity,fees,fees_per_day_pct,turnover,total_return,max_drawdown,sharpe,share_halted,share_cooldown,days,analytic_at_measured_pct,brief_scenario_at_measured_size_pct
oos,with,669,1307,43.5727184331157,0.030258832245219244,0.519587038676358,2716.4010382,0.905592789509654,8453.585677208308,-0.2387219507149032,0.2387219507149032,-76.61662488727531,0.0,0.003148148148148148,29.995833333333337,0.9055927895096542,59.856426855516446
oos,without,743,1478,49.27351020975135,0.03421771542343844,0.48911065390392416,2891.62218588,0.9640079519533267,9004.659808359105,-0.2552888148411574,0.2552888148411574,-100.13051858073287,0.0,0.004398148148148148,29.995833333333337,0.9640079519533268,56.345547329732064
full,with,314,616,13.800270703362012,0.009583521321779174,0.521296096525974,1284.47358184,0.28776108994657495,2932.57155306787,-0.12012743879288312,0.12012743879288312,-46.38548890990067,0.6635707395998631,0.18222408911291577,44.636805555555554,0.28776108994657495,60.0533103197922
full,without,310,618,13.845076777074226,0.00961463665074599,0.4899494498220064,1211.15503996,0.27133550998683825,2769.997595661054,-0.12010130236853245,0.12010130236853245,-55.61978964049096,0.6954945704595663,0.15594760260120102,44.636805555555554,0.27133550998683814,56.442176619495136
