source,risk_loop,scope,fees_pct_day_with,fees_pct_day_without,delta_pct_day,fills_with,fills_without,fills_per_bar_without,notional_over_e0,brief_claim_pct_day
docs/report_tables/raw/hysteresis_BTCUSDT/hysteresis_cost.json,default,oos,0.905592789509654,0.9640079519533267,0.05841516244367262,1307,1478,0.03421771542343844,0.48911065390392416,1.15
docs/report_tables/raw/hysteresis_BTCUSDT/hysteresis_cost.json,default,full,0.28776108994657495,0.27133550998683825,-0.016425579959736702,616,618,0.00961463665074599,0.4899494498220064,1.15
docs/report_tables/raw/hysteresis_BTCUSDT_relaxed/hysteresis_cost.json,relaxed,oos,1.2403497272621196,1.369521193423531,0.1291714661614114,1314,1494,0.03458813724128351,0.6874151516800535,1.15
docs/report_tables/raw/hysteresis_BTCUSDT_relaxed/hysteresis_cost.json,relaxed,full,1.02452391273121,1.0826654696212954,0.05814155689008538,1919,2154,0.03351120929726029,0.5608951723444754,1.15
docs/report_tables/raw/hysteresis_ETHUSDT/hysteresis_cost.json,default,oos,0.8719445598884289,0.8909672848282261,0.019022724939797175,1420,1560,0.03611612723989443,0.4282901631596153,1.15
docs/report_tables/raw/hysteresis_ETHUSDT/hysteresis_cost.json,default,full,0.2614456502940212,0.2585421274243415,-0.002903522869679709,847,750,0.011668248362555813,0.3846831556586666,1.15
docs/report_tables/raw/hysteresis_ETHUSDT_relaxed/hysteresis_cost.json,relaxed,oos,1.1593175639616613,1.2575936092737325,0.09827604531207124,1420,1576,0.0364865490577395,0.5983909946833756,1.15
docs/report_tables/raw/hysteresis_ETHUSDT_relaxed/hysteresis_cost.json,relaxed,full,0.9952974303635079,1.0594992233747313,0.06420179301122342,2099,2344,0.03646716554910777,0.5044012459475256,1.15
