source,scope,subset,method,n,zero_share,kurt,var,cvar,forecasts,breaches,expected,lr,decision
docs/report_tables/raw/var_BTCUSDT/var_backtest.json,oos,усі бари,історичний,43194,0.9320970505162754,70.39630731827506,-0.0,0.00017886025695193285,42694,1646,2134.7000000000003,127.41721044393125,ВІДКИНУТО
docs/report_tables/raw/var_BTCUSDT/var_backtest.json,oos,усі бари,параметричний,43194,0.9320970505162754,70.39630731827506,9.825613271036528e-05,,42694,1447,2134.7000000000003,261.71024216535443,ВІДКИНУТО
docs/report_tables/raw/var_BTCUSDT/var_backtest.json,oos,бари в позиції,історичний,2987,0.018078339471041177,4.959745567353878,0.0004463366456999296,0.0005978903066479616,2487,141,124.35000000000001,2.253653086491795,не відкинуто
docs/report_tables/raw/var_BTCUSDT/var_backtest.json,oos,бари в позиції,параметричний,2987,0.018078339471041177,4.959745567353878,0.00034446467224433144,,2487,286,124.35000000000001,164.43517555718518,ВІДКИНУТО
docs/report_tables/raw/var_BTCUSDT/var_backtest.json,full,усі бари,історичний,64277,0.9811441106461098,323.26743703553524,-0.0,4.9647484314122404e-05,63777,754,3188.8500000000004,2791.6929671630096,ВІДКИНУТО
docs/report_tables/raw/var_BTCUSDT/var_backtest.json,full,усі бари,параметричний,64277,0.9811441106461098,323.26743703553524,5.117373993015381e-05,,63777,646,3188.8500000000004,3128.1314691684374,ВІДКИНУТО
docs/report_tables/raw/var_BTCUSDT/var_backtest.json,full,бари в позиції,історичний,1294,0.0633693972179289,7.0877383994245715,0.0004327215557139441,0.0006140353884276951,794,22,39.7,9.838543296322513,ВІДКИНУТО
docs/report_tables/raw/var_BTCUSDT/var_backtest.json,full,бари в позиції,параметричний,1294,0.0633693972179289,7.0877383994245715,0.0003228642743090683,,794,59,39.7,8.64806679236358,ВІДКИНУТО
docs/report_tables/raw/var_ETHUSDT/var_backtest.json,oos,усі бари,історичний,43194,0.9270037505209057,77.6368500347723,-0.0,0.0001867337876380785,42694,1773,2134.7000000000003,68.29015182326475,ВІДКИНУТО
docs/report_tables/raw/var_ETHUSDT/var_backtest.json,oos,усі бари,параметричний,43194,0.9270037505209057,77.6368500347723,0.000104337866246174,,42694,1547,2134.7000000000003,187.58042247040976,ВІДКИНУТО
docs/report_tables/raw/var_ETHUSDT/var_backtest.json,oos,бари в позиції,історичний,3178,0.007866582756450597,5.880719515132736,0.0004511567357455837,0.0006260976891471737,2678,155,133.9,3.3383607680743808,не відкинуто
docs/report_tables/raw/var_ETHUSDT/var_backtest.json,oos,бари в позиції,параметричний,3178,0.007866582756450597,5.880719515132736,0.0003616974211441502,,2678,246,133.9,80.06685793792872,ВІДКИНУТО
docs/report_tables/raw/var_ETHUSDT/var_backtest.json,full,усі бари,історичний,64277,0.9731630287661216,320.5999829418597,-0.0,5.156853134020276e-05,63777,990,3188.8500000000004,2160.524739249626,ВІДКИНУТО
docs/report_tables/raw/var_ETHUSDT/var_backtest.json,full,усі бари,параметричний,64277,0.9731630287661216,320.5999829418597,4.7950855201854076e-05,,63777,860,3188.8500000000004,2492.058369612203,ВІДКИНУТО
docs/report_tables/raw/var_ETHUSDT/var_backtest.json,full,бари в позиції,історичний,1768,0.024321266968325792,8.833409642641923,0.00036482074110122387,0.0005351142890516709,1268,31,63.400000000000006,21.304196899415558,ВІДКИНУТО
docs/report_tables/raw/var_ETHUSDT/var_backtest.json,full,бари в позиції,параметричний,1768,0.024321266968325792,8.833409642641923,0.00026435467943083647,,1268,101,63.400000000000006,20.048684164378983,ВІДКИНУТО
