variant,label,scope,sharpe,sharpe_fold_mean,total_return,max_drawdown,turnover,fees,funding,slippage_cost,gross_pnl,n_trades,n_fills,fees_per_day_pct,psr,exposure,days,n_segments,halted_segments,share_halted,share_cooldown,config_hash,note
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,-76.61662488727531,-76.3808851424949,-0.2387219507149032,0.2387219507149032,8453.585677208308,2716.4010382,-0.16810532427,50.824349998737,53.296099999999996,669,1307,0.905592789509654,0.0,0.054375,29.995833333333337,6,0,0.0,0.003148148148148148,bdfa3fef3871f8bbd188a2ee0326489e224a49b5e4e06ca096633f92842938ee,
no_ema_slope,без EmaSlope,oos,-118.06692590681241,-118.39637234653041,-0.4122796454100759,0.41238567785098335,15260.0360628282,4865.19545756,0.368021972468,74.711398078062,-219.1815,1856,3711,1.6219570910048617,0.0,0.18636574074074075,29.995833333333337,6,0,0.0,0.4535416666666667,e0f7de6cdefe94984364b0d98453732f0c69d6855cd270b598153ab0cb010d16,
no_donchian,без Donchian,oos,-83.30315050660668,-83.21742457242749,-0.2791178440782627,0.2791178440782627,10335.635264961358,3329.02799532,-1.450124362272,44.412059024422,147.3967,863,1669,1.1098301415152103,0.0,0.06900462962962962,29.995833333333337,6,0,0.0,0.005555555555555556,dcfe72ecd56bec2d3e8b31e5f9b88509a6211ab04947b832f8133068a454b10d,
no_rsi_exhaustion,без RsiExhaustion,oos,-89.6118176012998,-89.75718761244279,-0.29341270190503776,0.29344788217220297,10366.587441955278,3322.78830668,-0.455576689092,45.434388683385,-48.0935,913,1780,1.1077499563872757,0.0,0.07074074074074074,29.995833333333337,6,0,0.0,0.02189814814814815,e44f2ce4f7357bca9e638a547d9a4c27a76e61374db416afde623e692bff928b,
no_bollinger_z,без BollingerZ,oos,-127.27294633676843,-128.1228538920608,-0.34988826552967456,0.34988826552967456,12755.529323491688,4072.63185868,0.566793089094,64.693383378956,-78.4361,1207,2363,1.3577325268553964,0.0,0.031782407407407405,29.995833333333337,6,0,0.0,0.08305555555555555,f8d469a9417a83547efba38fce30a88c6ae67e9b691b84b8219319986790cdd7,
no_candle_geometry,без CandleGeometry,oos,-80.8486624040061,-80.71074455071106,-0.257903375897778,0.257903375897778,9161.253774762292,2949.5305968000002,-0.44850110000000004,50.276084733394,42.5508,759,1460,0.983313436910682,0.0,0.06074074074074074,29.995833333333337,6,0,0.0,0.011087962962962963,dac72ef0c3508bcef78af0e6d1fdd5bec994a16510578d58a9fc789d414e91fc,
no_vol_regime,без VolRegime,oos,-31.606579761986968,-31.46106580621165,-0.03855335375757296,0.03855335375757296,1316.481774278229,431.64827436,0.0,-5.613329514003,39.9611,86,171,0.14390274461230723,0.0,0.0043518518518518515,29.995833333333337,6,0,0.0,0.0,90b05fb779ad13d2199c6c736c3642bba292213ad6c0aec839afae881f6017cb,V ≡ 0.5 (нейтральне значення: decision.aggregator.V_DEFAULT)
linear,LinearVoteEngine замість Мамдані,oos,-37.85132253225177,-37.757406826847784,-0.05576923011328849,0.05576923011328849,1866.371984411372,612.13485764,0.0,9.899792669025,41.6007,139,278,0.2040732960600083,0.0,0.005740740740740741,29.995833333333337,6,0,0.0,0.0,6c8e493607258e964effc33d598d0d72d62b768d65509350307500b34cb4648b,u = 0.5·T + 0.5·R (config/engine.yaml linear.weights)
kappa_off,κ ≡ 1 (без гасіння узгодженістю),oos,-119.76789228265281,-120.82871424087723,-0.43201962802407623,0.43213693678679044,16567.48974547092,5242.37779728,1.426893962614,59.296175398364,-154.9205,2220,4148,1.7477020021491871,0.0,0.20333333333333334,29.995833333333337,6,0,0.0,0.6592592592592592,763160de2f783fb8fb851775204a7751fec46bb7e99a999c4c4af5f7d812a1af,agreement.kappa_min = 1.0
hysteresis_off,без гістерезису (u_exit = u_enter),oos,-100.13051858073287,-100.16429557627141,-0.2552888148411574,0.2552888148411574,9004.659808359105,2891.62218588,-0.432115644928,35.17040298242,18.5531,743,1478,0.9640079519533267,0.0,0.021805555555555557,29.995833333333337,6,0,0.0,0.004398148148148148,00602991de378496882f17274e1e016057ca9bd1b4a97fa80b7763b6ee7d6192,
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",full,-46.38548890990067,-46.38548890990067,-0.12012743879288312,0.12012743879288312,2932.57155306787,1284.47358184,-0.539393911161,13.897313173208,82.6598,314,616,0.28776108994657495,0.0,0.015432963066679113,44.636805555555554,1,1,0.6635707395998631,0.18222408911291577,bdfa3fef3871f8bbd188a2ee0326489e224a49b5e4e06ca096633f92842938ee,
no_ema_slope,без EmaSlope,full,-50.60873126846694,-50.60873126846694,-0.12016160027408118,0.12016160027408118,2920.965933861402,1267.78409,-0.137887259216,19.597052277961,66.0302,349,695,0.2840221369385628,0.0,0.0225893773919537,44.636805555555554,1,1,0.8534024082889947,0.11602725660412583,e0f7de6cdefe94984364b0d98453732f0c69d6855cd270b598153ab0cb010d16,
no_donchian,без Donchian,full,-47.9537959616541,-47.9537959616541,-0.12005051555842805,0.12005051555842805,2917.4540907467435,1272.51400684,0.039448744265,4.60204378725,72.0483,337,653,0.2850817819514912,0.0,0.016537540060362798,44.636805555555554,1,1,0.7578331622016864,0.12607735150440275,dcfe72ecd56bec2d3e8b31e5f9b88509a6211ab04947b832f8133068a454b10d,
no_rsi_exhaustion,без RsiExhaustion,full,-48.88366945250165,-48.88366945250165,-0.12016581723199926,0.12016581723199926,2900.2133746319096,1265.89257232,0.0,13.500895949831,64.2344,342,671,0.2835983795355726,0.0,0.01638196583590031,44.636805555555554,1,1,0.7468340645321883,0.12057002395843057,e44f2ce4f7357bca9e638a547d9a4c27a76e61374db416afde623e692bff928b,
no_bollinger_z,без BollingerZ,full,-60.036951779982765,-60.036951779982765,-0.12016344963200076,0.12016344963200076,2788.272746732999,1214.73009632,0.0,19.41672315648,13.0956,379,743,0.2721364311807956,0.0,0.006938610411027101,44.636805555555554,1,1,0.76117800802763,0.18637792090606428,f8d469a9417a83547efba38fce30a88c6ae67e9b691b84b8219319986790cdd7,
no_candle_geometry,без CandleGeometry,full,-47.38559491028443,-47.38559491028443,-0.12020242664039771,0.12020242664039771,2866.560089856265,1254.29331112,-0.362844716001,7.689495769757,51.9062,322,625,0.28099979277390047,0.0,0.015619652136034102,44.636805555555554,1,1,0.6897694389993466,0.16223280126948567,dac72ef0c3508bcef78af0e6d1fdd5bec994a16510578d58a9fc789d414e91fc,
no_vol_regime,без VolRegime,full,-34.84027881138077,-34.84027881138077,-0.06488533041199951,0.06491229978504909,1435.9670108493187,673.27440412,0.0,9.796990457348,24.4211,153,304,0.15083391289773945,0.0,0.004916145493014717,44.636805555555554,1,0,0.0,0.0,90b05fb779ad13d2199c6c736c3642bba292213ad6c0aec839afae881f6017cb,V ≡ 0.5 (нейтральне значення: decision.aggregator.V_DEFAULT)
linear,LinearVoteEngine замість Мамдані,full,-42.852145939543874,-42.852145939543874,-0.0845262347720005,0.08483521837227403,1915.0118928350887,885.41464772,0.0,8.124736006573,40.1523,235,469,0.19835976985808296,0.0,0.006751921341672112,44.636805555555554,1,0,0.0,0.15526307601356606,6c8e493607258e964effc33d598d0d72d62b768d65509350307500b34cb4648b,u = 0.5·T + 0.5·R (config/engine.yaml linear.weights)
kappa_off,κ ≡ 1 (без гасіння узгодженістю),full,-47.4384028229152,-47.4384028229152,-0.12013849232692464,0.12013849232692464,2775.5581699611325,1203.843203,0.549420269202,3.634373719805,3.0077,340,638,0.26969743645783095,0.0,0.019213416721117645,44.636805555555554,1,1,0.8667817915927689,0.10943090948691621,763160de2f783fb8fb851775204a7751fec46bb7e99a999c4c4af5f7d812a1af,agreement.kappa_min = 1.0
hysteresis_off,без гістерезису (u_exit = u_enter),full,-55.61978964049096,-55.61978964049096,-0.12010130236853245,0.12010130236853245,2769.997595661054,1211.15503996,-0.12171627468,19.26307032414,10.0203,310,618,0.27133550998683825,0.0,0.005522884968418433,44.636805555555554,1,1,0.6954945704595663,0.15594760260120102,00602991de378496882f17274e1e016057ca9bd1b4a97fa80b7763b6ee7d6192,
