cell,n_atr,chi,u_enter,rho_base,lam,config_hash,equity_hash,wall_s,full_sharpe,full_max_drawdown,full_turnover,full_total_return,full_n_trades,full_psr,full_sr_period,full_halted,pareto_full,oos_sharpe,oos_max_drawdown,oos_turnover,oos_total_return,oos_n_trades,oos_psr,oos_sortino,oos_calmar,oos_sr_period,pareto_oos,feasible_oos,selected,run_id,persist_status,read_back_ok,run_metrics
80,21,1.5,0.3,0.0025,0.94,8d662b22c970467f8e67584388ef216873634f7c8319d4eeed92f5eb02242df8,c5c41a1dfc2b098b375010e60db7149cd391a668383bb94eaf2a53f5b9e10890,7.682644583983347,-47.70754308605835,0.12006440158998744,2752.805364642362,-0.11992659247862392,357.0,0.0,-0.06580507264795513,1.0,0,-74.72209515276556,0.24965857789000667,8725.896523873867,-0.24954691453978795,777.0,0.0,-82.25995266074422,-3.8836986391178154,-0.10306740992855873,0,0,0,3422e6e1-8ee5-4463-8e0e-dd1055001afa,written,True,47
81,21,1.5,0.3,0.0025,0.97,055b211167757e7e2b56406d243d489654f5c14d8b3a06184c6fddecab0df387,6cc1cfe89656c0d507180ca36b1c9a02b1f436b4da6fc161569b54602670912a,7.780573165975511,-50.10444819760787,0.1201235278965499,2756.0969630610207,-0.11999275825777844,395.0,0.0,-0.06911122728918763,1.0,0,-74.16366253825502,0.23791291263496572,8293.52730307644,-0.23780511051044617,779.0,0.0,-81.46036807083132,-4.048864148409705,-0.10229713972829783,0,0,0,6aa27069-c979-4fdc-94e8-7e0e330c66a2,written,True,47
82,21,1.5,0.3,0.005,0.94,8f6327793c76537b45ad43ba2a64b3ff1314fc4f31af79a60faa63003dc8eccc,c5c41a1dfc2b098b375010e60db7149cd391a668383bb94eaf2a53f5b9e10890,7.91703933296958,-47.70754308605835,0.12006440158998744,2752.805364642362,-0.11992659247862392,357.0,0.0,-0.06580507264795513,1.0,0,-74.72186784115628,0.24965937826065987,8726.025122897485,-0.24954771502954964,777.0,0.0,-82.2599451735619,-3.8836877691028144,-0.10306709638784808,0,0,0,fadf4b17-6b07-4c60-9bdc-e9749d2a028a,written,True,47
83,21,1.5,0.3,0.005,0.97,e102412f2671292cdb2bbb0be62d3de77c744f10edeb210865ebdaec48cc478d,6cc1cfe89656c0d507180ca36b1c9a02b1f436b4da6fc161569b54602670912a,7.70360124995932,-50.10444819760787,0.1201235278965499,2756.0969630610207,-0.11999275825777844,395.0,0.0,-0.06911122728918763,1.0,0,-74.16366253825502,0.23791291263496572,8293.52730307644,-0.23780511051044617,779.0,0.0,-81.46036807083132,-4.048864148409705,-0.10229713972829783,0,0,0,cf9986d9-02b3-4022-94e2-58f08a747ad4,written,True,47
84,21,2.0,0.2,0.0025,0.94,75a3ae6d67c6b5fff3ba85f72b5260e8020257639c4350f6ca25bd515b20ccee,0efca76b8b3057abcd55570143db2cf3c2e3fb9bcfe59962894f2a65f8a1f37f,7.6920492079807445,-46.77223336572839,0.12010207905756365,2854.6799272025582,-0.11958223055775674,404.0,0.0,-0.06451495959426828,1.0,0,-115.94535314507047,0.39665459802740244,14967.281044258078,-0.39665459802740244,2179.0,0.0,-126.5930546202935,-2.5156969982816006,-0.15992842836490234,0,0,0,fefbd353-2d8d-403e-a456-0097f12b5e47,written,True,47
85,21,2.0,0.2,0.0025,0.97,c876a57e2ea8d4bec6b21aeb9fe948c3b83dbf5b99d209924ab4e6372f27cfb2,3ca535bf4b948c2d1e5b8d04c7131e74e918664ad25f57e47c47750c92eca73d,7.833241124986671,-48.50556606979949,0.12000340703379009,2822.504547075157,-0.11953806577033788,429.0,0.0,-0.06690582018226213,1.0,0,-117.05613340764992,0.39739943746513195,14919.511725713797,-0.39739943746513195,2158.0,0.0,-127.74342018745637,-2.5110621014724934,-0.16146057550865908,0,0,0,8e021359-d86a-40d8-b1c7-8534b0542782,written,True,47
86,21,2.0,0.2,0.005,0.94,912db0528914a15a3c03d1e81bcc9667bad8445c28ab14de8bacf5ba1d3423ac,8b86278a42cbca68da4adf8b477f99f858ea6c3bedb37158bbf042ad855a4cbd,7.7237076660385355,-48.247367490627795,0.12012065641827108,2794.6407875281475,-0.11960081889407026,393.0,0.0,-0.06654967574134336,1.0,0,-111.82586587390715,0.4081176662224415,15353.520694357061,-0.4081176662224415,2047.0,0.0,-122.41425645392103,-2.446127126775733,-0.1542462418255069,0,0,0,de86054a-b4c3-403c-8a11-5de9072f63aa,written,True,47
87,21,2.0,0.2,0.005,0.97,d01997f33ba5c5db51471f96a73d5160c0cf530092a9fbcd34b0da36fc2a278b,abaa93a86dd0e22b9a776f6301910bb9d7841b6886302114fe0fabed329a9b9a,7.650515582994558,-48.2584864765235,0.12012945182989632,2803.449330559237,-0.1196641772187984,410.0,0.0,-0.06656501263834765,1.0,0,-113.73480614764459,0.39962636710817023,15010.145324359435,-0.39962636710817023,2095.0,0.0,-124.04815553045408,-2.4973012119066698,-0.1568793255113991,0,0,0,379df734-4ffe-43ad-ac40-00bdc9c128c9,written,True,47
88,21,2.0,0.25,0.0025,0.94,e8379406bccabe41efe71840ab51440692cea31bd81b0689c52c341555932d62,c144c397643323fad96bca9057d1ab2921959b13d460534df59e08533d3c039e,7.394670584006235,-47.35372267313529,0.12017791364776476,2719.153963895088,-0.11965810995144799,362.0,0.0,-0.06531703288588371,1.0,0,-96.33426279049425,0.3533870589100322,13094.588383175236,-0.35329083209225387,1423.0,0.0,-107.20597429470993,-2.8156853243381645,-0.13287800526596838,0,0,0,a288545f-0759-4abd-a946-6c41166cfd5b,written,True,47
89,21,2.0,0.25,0.0025,0.97,d959881fbe20c5aee454425e03ed2d819ed402743603191c4708c89619d27d97,fcb3d25e2288cbff2cace60c18a2a575f97ab47092f319d87d9c4defb44df8c1,7.48029008298181,-50.029535236136304,0.12010754119348765,2734.163137022646,-0.11964225499606851,422.0,0.0,-0.06900789660911011,1.0,0,-98.29323186608049,0.35509812455033074,13175.895656561901,-0.3550068990284281,1432.0,0.0,-108.98755138712542,-2.8025633215288517,-0.13558009583687688,0,0,0,cef55903-c342-4361-94e9-df5fb1e0197a,written,True,47
90,21,2.0,0.25,0.005,0.94,d84f5ddc636a9d05208af48c088ea29ddd8b32be4c57bfdef365c509406deb29,c3b6afa343a93a6bbfe311f1a98558d4037407ebef8e281301eda75ea0ba2e9a,7.436955416982528,-46.93979286929461,0.12005465278030514,2728.3224726461167,-0.11953477626079434,355.0,0.0,-0.06474608164733943,1.0,0,-96.15092548467375,0.36425962600118067,13651.935598203116,-0.36416501720318795,1419.0,0.0,-107.30363761606752,-2.734187210341974,-0.13262512020947248,0,0,0,8118488a-543d-432e-ac22-663ca372c606,written,True,47
91,21,2.0,0.25,0.005,0.97,762167f8f861465c7ee669dbf52a4a1c9464df9ed4c2f67cb24b233a59f18b65,6404e00ab52fb156c940b22add0d89c7e40fa42225c831bff32b94d85c7a02fc,7.4276997079723515,-49.849751383727245,0.12009590991182006,2738.8974397319803,-0.11963061756379156,420.0,0.0,-0.06875991298422784,1.0,0,-98.14407570600754,0.3594165729428146,13386.301697544002,-0.35932595829323744,1429.0,0.0,-108.94228257459447,-2.7699417689380668,-0.13537435830954742,0,0,0,3be02bcd-111a-4780-983e-47899342efbf,written,True,47
92,21,2.0,0.3,0.0025,0.94,490c44c2c60f97fe33d9e97e497db4c51151ece2fd24212355bb99f397c68c09,8d2f409aaa7b28ee6e150370ef98e8a83bafb0e49082e923fb580cc8fec2b4c1,7.612216709007043,-46.84804436391278,0.12003829304603397,2689.29143274332,-0.11990047984574026,350.0,0.0,-0.06461952897513198,1.0,1,-70.3057152701693,0.2529873686990567,9036.217074214304,-0.25287620072857175,773.0,0.0,-79.5309074482995,-3.838926014332197,-0.09697570659998922,0,0,0,2d65493b-5e9f-4259-8497-07d18c9d99db,written,True,47
93,21,2.0,0.3,0.0025,0.97,b6cf87fde32d4b65db39140e79387a8dc0f30e527b71694c019fec949234c15b,775b57c99bb5f84cd1af1038b182be7a4320d71734b72dbb42823c85680400ed,7.594464041001629,-49.355054028666885,0.12015636626804294,2690.296898217279,-0.12002560150979968,387.0,0.0,-0.06807755557735456,1.0,0,-70.90874219588726,0.23898053479902448,8439.213513211498,-0.23887288369653292,773.0,0.0,-79.69761413749495,-4.033375356890705,-0.09780748765783917,0,0,0,0cdd4479-3c0c-4f49-a09c-828cb2efc534,written,True,47
94,21,2.0,0.3,0.005,0.94,26f0f790a9a88b573020e6daf26e20393a71074b21452bdf51ecb8db5da95a17,4731962174e681e9386b0536f98cc3fcedb004a577203f5ec2ef15f98dc1d16b,7.556296292052139,-46.74719118300929,0.12004152067230034,2685.892070304986,-0.11990370797749406,349.0,0.0,-0.06448041783113198,1.0,1,-70.18250991625179,0.2538104233064168,9090.111235882714,-0.2536993778202199,773.0,0.0,-79.41398749275038,-3.82798916145139,-0.09680576413930676,0,0,0,d29e658c-4e46-46b2-a7f3-31e4c3e90148,written,True,47
95,21,2.0,0.3,0.005,0.97,7a078fa9933473edb521c119e4c6f8b64f2a306b08966fea28578c918a3046d2,51bad82ff54f7d6a680d7008b88e6176566252f965470f0e694a8df98a3a0189,7.6850206250092015,-49.35261978841009,0.12015516963229023,2690.409585468811,-0.1200244046961998,387.0,0.0,-0.06807419792473657,1.0,0,-70.91685989758992,0.2391799379744024,8448.764487949009,-0.2390723150787737,773.0,0.0,-79.70831234242517,-4.0304932993092555,-0.09781868475405757,0,0,0,a380e432-0f43-471a-b6ec-5069243aee70,written,True,47
96,21,2.5,0.2,0.0025,0.94,3b12a776eb73064e596f82a3e86a7935b47f1ee5e72fd25323fb264d2cc8c466,505ba3d4d06c9239287d2cf1217e9fd6a8ea9c5155f017a0cc9c8c17407e5731,7.530800333013758,-49.96471785641455,0.12009527645288598,2769.4554406238667,-0.11967427194957436,433.0,0.0,-0.06891849120054094,1.0,0,-113.73984871188536,0.3796956500320562,14074.344703178484,-0.3796956500320562,2146.0,0.0,-125.90425259051393,-2.625801430937579,-0.1568862809378313,0,0,0,53a2cde7-573b-478f-95ad-a974ba025040,written,True,47
97,21,2.5,0.2,0.0025,0.97,fb047195f258f9c1bbbaf9ea0612cf2bc41ed2b03cf9270eedbaaf2819f5731e,632ca3f8b0180d14a0000d3db0b8eb7bfcd23b9ecfaad64f9250f82aaf39b668,7.3334429590031505,-51.448093051470664,0.12007796633488832,2791.2702846642305,-0.11965695354927353,461.0,0.0,-0.07096457461126615,1.0,0,-114.16415383452505,0.37695741377715797,13935.440925564157,-0.37695741377715797,2136.0,0.0,-126.2969077882155,-2.644437972980616,-0.1574715433012659,0,0,0,b7d50196-cb61-4217-a5c0-d3115dc4f1a6,written,True,47
98,21,2.5,0.2,0.005,0.94,241f887b095ae671da70cf4a60f64579dd360f85e8aa2ba5bebe915cf036afa5,6394e6eb7ba8d052a5fd9e202d772ec80927a7869fc54b9f9c0f4b113eb535df,7.903874625044409,-46.67857427233649,0.12003701408461875,2779.6196191140125,-0.11951712714407026,368.0,0.0,-0.06438577156558112,1.0,1,-109.64281877685262,0.4034273197933054,15071.409833054142,-0.4034273197933054,2001.0,0.0,-121.36054301557269,-2.4741435236122693,-0.1512350707711425,0,0,0,f9d247cf-3933-4292-b15a-f62b12fa6573,written,True,47
99,21,2.5,0.2,0.005,0.97,8c5cc795aafbabb7bb547cf3e607958f20eaec88fb5b27c6afc1227233a94f5c,00e4eee33a011532456b730e77472ee3d5d32827f31718de3c479723994fac0f,7.7353255419875495,-48.5164798127238,0.12012833416601654,2789.7340509516316,-0.11966305896389917,403.0,0.0,-0.06692087397878022,1.0,0,-112.2168333512887,0.40048526596328826,14938.794925501104,-0.40048526596328826,2029.0,0.0,-123.77783082312378,-2.4920321734743967,-0.1547855201363952,0,0,0,54c51e40-e556-42fa-a863-ac004529c6f2,written,True,47
100,21,2.5,0.25,0.0025,0.94,f5098c4ee4d404f5b8779d1b617dc5adc3a4850ce1198f4ccef28bfae7c8dea9,cdeebbc2f5801d7c8bd7a3a73f6f9dd19e2ab10d604cc2e33158ebfc7131442a,7.495170582958963,-46.778590329910315,0.12016553970352972,2751.7026992216206,-0.11974456881879536,342.0,0.0,-0.0645237280292526,1.0,0,-93.59943738447221,0.3260039955376717,11676.604553892048,-0.3259038639901424,1390.0,0.0,-104.58039843283196,-3.0421771801190767,-0.12910574258209637,0,0,0,cfd3bd8a-716b-4997-a27c-5f5adf22cd95,written,True,47
101,21,2.5,0.25,0.0025,0.97,3cd41259fd221f9f9a1f4febfea86d43b8b7403fd05c207e7ecc0ff134b98b4d,af8d255cda95bcbcb0932fce8e69e8e7445bd3a16fbd7251ff69a73fb959f80f,7.501217207987793,-48.71223796603531,0.12006702468828923,2733.8073080037925,-0.1196460066674685,382.0,0.0,-0.0671908916461511,1.0,0,-95.14818791798825,0.33143913560082905,11939.821251744928,-0.3313445633626324,1387.0,0.0,-106.30762545222007,-2.9946237551225927,-0.13124200101795294,0,0,0,065308b1-8cf7-4c15-8a69-8bd4e8156e91,written,True,47
102,21,2.5,0.25,0.005,0.94,b0c4160f48bfbcf368d6fc1695014cc7e25d11647d7d2daca62b2d2089ac9080,75f1a911851dd076c19154bab3ed2015a43fce996d4ab8891baea869cf6827e0,7.651779874984641,-46.05009635288845,0.12008515103736817,2755.6460917386053,-0.11956529253639436,364.0,0.0,-0.06351888485392819,1.0,1,-93.63265287810727,0.358699607377053,13208.56268891789,-0.35860417115531873,1373.0,0.0,-105.51141558473486,-2.775307656747023,-0.1291515581456384,0,0,0,9e7c9494-3d98-4d1b-9f4e-17445092aaf4,written,True,47
103,21,2.5,0.25,0.005,0.97,180334eb44fc0ac45869529a64088d2bf6cbcdbfd64081696c55d710634f7900,c919be83016d0e2434b25d1d19a1837589417ead56076a753b6dd09a4dfd370c,7.715633457992226,-47.44819832191345,0.12006530385941361,2751.7074947916385,-0.1195999953269371,362.0,0.0,-0.06544734722464761,1.0,0,-95.7487447198412,0.35433939389899116,13043.94261364614,-0.35424806104975337,1391.0,0.0,-107.41319211691551,-2.8083685002318277,-0.13207037492737578,0,0,0,3934f51a-023c-4845-8a99-3abb66b1376b,written,True,47
104,21,2.5,0.3,0.0025,0.94,bcb8a6dddfb3e99f25a5650d1cb6f4afeaea858b90283a9b4d5c1d8bd5ce5c73,d6be2984a8a8dc65657659dc978317cc6374cb3e39234e7fe29ad24096dffc47,7.6095826249802485,-47.26937860668163,0.1200856921055945,2663.09739075872,-0.11994788632859676,354.0,0.0,-0.06520069347577419,1.0,0,-69.31327341401214,0.2436773192176679,8435.892078458231,-0.24356495688917212,767.0,0.0,-78.74584943234245,-3.9663725000395162,-0.09560678872623735,0,0,0,46b82863-3299-41d8-8f17-aea620d7b8ee,written,True,47
105,21,2.5,0.3,0.0025,0.97,aeb2add7e946c975a64647f257d5943d78f476fe7676ab640665ec7fd1517cc5,740bcd5267b89d4c0dc5a3a8d6b7a19e66c8c36fee386ac8e4196f29d7688b4f,7.627553874976002,-49.16217352710622,0.12002182754683899,2676.6097080099985,-0.11989104279308449,400.0,0.0,-0.06781150717920759,1.0,1,-69.86753984034479,0.2370595899504807,8160.761855240737,-0.236951667117974,768.0,0.0,-79.0196846087881,-4.061314572332813,-0.09637131232338317,0,0,0,14d1e929-5a10-4aa6-a893-d0550a3a6ff6,written,True,47
106,21,2.5,0.3,0.005,0.94,5a8c86f0eb7a238a99507037119f1d05999c232604a814b6e1403d986ee649e9,1bb9b3d2b07360e3670429b9a539d6891cf449c4da1638cfe8f12ab466bcca63,7.6646311249933206,-46.26783311770256,0.12013561724111255,2678.9203759531647,-0.11999781928302622,347.0,0.0,-0.06381921856847049,1.0,0,-70.03053884142022,0.24931324928230714,8647.511489105014,-0.24920153454141725,767.0,0.0,-79.67293808290243,-3.8883933745065176,-0.09659614387859371,0,0,0,8bf309a2-32a2-4d38-bf45-10cdb1555660,written,True,47
107,21,2.5,0.3,0.005,0.97,263555ceb42e8ccbe0557e77fd25f7c5994c1721262b019e1afed237a3ded8c4,e13cf87806455bc11966c02c28ec975b68c3e52cee3805e14bfe4d15c05b9355,7.452771082986146,-48.700783033310785,0.12001711078580413,2678.6658089160146,-0.11988632533103172,388.0,0.0,-0.0671750913631905,1.0,1,-69.97276639432523,0.24223647212531085,8351.85691518641,-0.24212928159611447,768.0,0.0,-79.1872947464485,-3.986738360053054,-0.09651645584956907,0,0,0,44b1fec0-7b9c-4393-93d4-76114a28ddb1,written,True,47
