cell,n_atr,chi,u_enter,rho_base,lam,config_hash,equity_hash,wall_s,full_sharpe,full_max_drawdown,full_turnover,full_total_return,full_n_trades,full_psr,full_sr_period,full_halted,pareto_full,oos_sharpe,oos_max_drawdown,oos_turnover,oos_total_return,oos_n_trades,oos_psr,oos_sortino,oos_calmar,oos_sr_period,pareto_oos,feasible_oos,selected,run_id,persist_status,read_back_ok,run_metrics
84,21,2.0,0.2,0.0025,0.94,75a3ae6d67c6b5fff3ba85f72b5260e8020257639c4350f6ca25bd515b20ccee,fc9c2c3c4883627e21206467b5e71113834ef748b39254494825617230be4818,6.700999499997124,-49.00766719109891,0.12036249965388002,2997.692596353174,-0.12036249965388002,329.0,0.0,-0.06759838992336421,1.0,0,-126.80148305561075,0.41686523290773414,15928.545004559799,-0.41686523290773414,1987.0,0.0,-134.57042620773424,-2.395469943801434,-0.17490275676722805,0,0,0,d13aa174-57ef-4833-ba07-1d8923cf579b,written,True,47
85,21,2.0,0.2,0.0025,0.97,c876a57e2ea8d4bec6b21aeb9fe948c3b83dbf5b99d209924ab4e6372f27cfb2,2326303daa5627fc2df298597ff55211b99f46df230f42ba6a90df94d504d845,6.607558082963806,-50.80644807126818,0.12002028319269487,2954.0859538586983,-0.12002028319269487,350.0,0.0,-0.07007952600458661,1.0,0,-128.61989529924014,0.4157052770237266,15878.175996672875,-0.4157052770237266,2016.0,0.0,-136.62642511162116,-2.4020709741849635,-0.17741097123511862,0,0,0,9db2cd4a-2b85-48d4-aba6-36a7e885bd0f,written,True,47
86,21,2.0,0.2,0.005,0.94,912db0528914a15a3c03d1e81bcc9667bad8445c28ab14de8bacf5ba1d3423ac,4b4cd92d45bb569d6d2eedf7c5042484d6bf114f1a4439a5c5251d4bb5dfc944,6.73375020903768,-48.63698332239108,0.12012816825387995,2964.6139807378377,-0.12012816825387995,319.0,0.0,-0.06708708966911003,1.0,0,-125.05370179178173,0.42476031717481155,16394.380450724962,-0.42476031717481155,1905.0,0.0,-132.78400031445014,-2.3514530289733298,-0.17249196665733843,0,0,0,b9d62506-e244-4a48-a073-d2b03c868d2f,written,True,47
87,21,2.0,0.2,0.005,0.97,d01997f33ba5c5db51471f96a73d5160c0cf530092a9fbcd34b0da36fc2a278b,d2cc95e020903160d086bb22f66fa46ace23bcff9a9fe48a637bfc6310228931,6.181733833975159,-50.684972504233784,0.12004838632869486,2948.8930352529596,-0.12004838632869486,343.0,0.0,-0.06991196951358832,1.0,0,-128.1869837546131,0.42180444855680854,16100.814400864987,-0.42180444855680854,1971.0,0.0,-135.97413397951794,-2.3677487697408433,-0.17681383766248981,0,0,0,2a9b61b2-733a-4ec1-b693-73288c50d1df,written,True,47
88,21,2.0,0.25,0.0025,0.94,e8379406bccabe41efe71840ab51440692cea31bd81b0689c52c341555932d62,310586615dc971cac58d01064ab7215439d77c79689983255afd6f2704b3b8e7,6.358912583033089,-46.62568522505264,0.120005420881242,3009.705871681541,-0.120005420881242,313.0,0.0,-0.06431281942062332,1.0,1,-106.34823690646844,0.38792855852355035,15079.468263205707,-0.38792855852355035,1366.0,0.0,-115.25605000797343,-2.571233074725924,-0.14669071184378826,0,0,0,5fd9cbc3-e899-498f-ab5d-6672000ca318,written,True,47
89,21,2.0,0.25,0.0025,0.97,d959881fbe20c5aee454425e03ed2d819ed402743603191c4708c89619d27d97,fe5c1683e76b28a84d590e0edb16e127cbc6fc7aab55fe12d3cd0062ef5756e0,6.425888166006189,-48.589193202149055,0.12024055365790065,3020.5896721234385,-0.12024055365790065,352.0,0.0,-0.06702117069422785,1.0,0,-107.00738480397304,0.375936402800256,14387.95731796326,-0.375936402800256,1377.0,0.0,-115.79013195686899,-2.6514509069445067,-0.14759990297951273,0,0,0,9488b9ad-32d2-4876-9261-880a6f3b7419,written,True,47
90,21,2.0,0.25,0.005,0.94,d84f5ddc636a9d05208af48c088ea29ddd8b32be4c57bfdef365c509406deb29,b7ebd885d1b9924dc3520bf1978599a74ae344b2bfea928ff6ac0d2902a79cf2,6.230758167046588,-46.62322306268667,0.12020906376124207,3017.589342102986,-0.12020906376124207,313.0,0.0,-0.06430942325383536,1.0,0,-105.91933762045865,0.39309491195194746,15321.030158193753,-0.39309491195194746,1363.0,0.0,-114.98987696805918,-2.53807454115711,-0.14609911255258984,0,0,0,a25d8f37-060f-4a65-a381-c49c5ed0cbbb,written,True,47
91,21,2.0,0.25,0.005,0.97,762167f8f861465c7ee669dbf52a4a1c9464df9ed4c2f67cb24b233a59f18b65,7b9fc1ca9b5e24095f83f7fa952af5f4f6301da54440905b72ffbd27bf170dd9,6.661398666037712,-48.49672095863196,0.12001801654190059,3016.9734329161647,-0.12001801654190059,351.0,0.0,-0.06689361973878281,1.0,0,-106.8030389442856,0.3775814306686309,14500.113961699155,-0.3775814306686309,1376.0,0.0,-115.76504258283894,-2.6401690063152845,-0.147318039918198,0,0,0,f126bd42-0c96-4725-9283-8f0151cf4570,written,True,47
92,21,2.0,0.3,0.0025,0.94,490c44c2c60f97fe33d9e97e497db4c51151ece2fd24212355bb99f397c68c09,94235bc139a38cce6e0c3bebad74e2c837be9322181441af748ddfec86f92be0,6.564416499983054,-45.540829433481825,0.12025886877034331,2957.5777302940946,-0.12025886877034331,291.0,0.0,-0.06281643101830933,1.0,0,-78.35073908469447,0.2638107059891224,9475.040866648507,-0.2638107059891224,710.0,0.0,-85.16053796496315,-3.6993560880616165,-0.10807255507140141,0,0,0,2ff2d7ff-ebe5-44c3-9d39-3cfc97f68364,written,True,47
93,21,2.0,0.3,0.0025,0.97,b6cf87fde32d4b65db39140e79387a8dc0f30e527b71694c019fec949234c15b,4b54f4f0cdbf365a111710c3865ff18f9031a0d120f0f4956cbba2c3ecd57951,6.063451249967329,-46.98123693814519,0.12021080830088393,2934.806144458872,-0.12021080830088393,313.0,0.0,-0.06480324723972007,1.0,0,-79.052409019774,0.25444501048578927,9069.972326474599,-0.25444501048578927,711.0,0.0,-85.52691798665568,-3.819792334344385,-0.10904039868827985,0,0,0,53bcf699-eec8-4a51-8cce-589afd78bf1e,written,True,47
94,21,2.0,0.3,0.005,0.94,26f0f790a9a88b573020e6daf26e20393a71074b21452bdf51ecb8db5da95a17,b5c7dc700c3917ad3c44591cf1f931a82aaee2a29ff890040966e4559cfaed2c,6.160911042010412,-45.54128203439368,0.12026609749434336,2957.7184193565186,-0.12026609749434336,291.0,0.0,-0.06281705531027573,1.0,0,-78.35964383919713,0.26479368726135666,9505.949167217363,-0.26479368726135666,710.0,0.0,-85.16854478903765,-3.687089111250385,-0.10808483778350635,0,0,0,13a706e2-f6f3-4b57-a79a-9b6afca49701,written,True,47
95,21,2.0,0.3,0.005,0.97,7a078fa9933473edb521c119e4c6f8b64f2a306b08966fea28578c918a3046d2,4b54f4f0cdbf365a111710c3865ff18f9031a0d120f0f4956cbba2c3ecd57951,6.539716541999951,-46.98123693814519,0.12021080830088393,2934.806144458872,-0.12021080830088393,313.0,0.0,-0.06480324723972007,1.0,0,-79.06567364388034,0.2545949694051435,9075.237217204458,-0.2545949694051435,711.0,0.0,-85.54478110031829,-3.817812011098603,-0.10905869515664736,0,0,0,ed98b5fc-7af6-4c64-abb4-d2bf5106a18b,written,True,47
96,21,2.5,0.2,0.0025,0.94,3b12a776eb73064e596f82a3e86a7935b47f1ee5e72fd25323fb264d2cc8c466,85f51bfd12b154d9c549e8fc1a61f36ddfb0cce1b870fe8fff59aafca90bc3ec,6.1344945000018924,-48.70698883154337,0.12000199567388004,2930.942152138648,-0.12000199567388004,353.0,0.0,-0.06718365128845843,1.0,1,-126.7853351832523,0.4082755767217364,15388.334496266274,-0.4082755767217364,2027.0,0.0,-135.32487819547092,-2.445194464172422,-0.17488048331014097,0,0,0,c6c82fb8-0278-4ef5-8e9d-e144af048b95,written,True,47
97,21,2.5,0.2,0.0025,0.97,fb047195f258f9c1bbbaf9ea0612cf2bc41ed2b03cf9270eedbaaf2819f5731e,08770a84dbf03c8b855a4281e8d9b7fe384854165a9b90baf68fb49ae450a076,6.338939249981195,-50.11753126705045,0.12014441676069476,2967.2013222142864,-0.12014441676069476,377.0,0.0,-0.06912927333137375,1.0,0,-127.61956664628637,0.40420582195542076,15282.578297462665,-0.40420582195542076,2055.0,0.0,-136.38421425842813,-2.4694509657724724,-0.17603117476224825,0,0,0,5f068055-6c30-447a-b31e-5345379c8bdf,written,True,47
98,21,2.5,0.2,0.005,0.94,241f887b095ae671da70cf4a60f64579dd360f85e8aa2ba5bebe915cf036afa5,3ab7058a928286afe88a773f6d4dd616e27d95fdaaa0e14c28d8318f7e5797a2,6.053620249964297,-47.192751286449024,0.12015231887388,2929.408855423825,-0.12015231887388,314.0,0.0,-0.06509499810668698,1.0,0,-122.29126221980793,0.42164199675331127,16010.400020284902,-0.42164199675331127,1864.0,0.0,-130.71097766095488,-2.368650686272515,-0.16868161456288222,0,0,0,c72a7abe-a911-4472-b7b7-3c0dbd970e40,written,True,47
99,21,2.5,0.2,0.005,0.97,8c5cc795aafbabb7bb547cf3e607958f20eaec88fb5b27c6afc1227233a94f5c,5a660ea1c82e39e9f632a6f7751c8fbf2bbf409566a2737a8140c4928ff99f52,6.29373462498188,-48.99067198540607,0.12025174534869476,2920.18669270885,-0.12025174534869476,336.0,0.0,-0.06757494770284854,1.0,0,-125.11651249019458,0.41812885596862015,15740.226551243073,-0.41812885596862015,1922.0,0.0,-133.61462486387003,-2.3883185838852956,-0.17257860416379459,0,0,0,a4aa7c9a-bbf1-4a05-aba3-68359882d0fe,written,True,47
100,21,2.5,0.25,0.0025,0.94,f5098c4ee4d404f5b8779d1b617dc5adc3a4850ce1198f4ccef28bfae7c8dea9,e646c5e648026a8a78e22d1d7e8e5e4334f062ccdb536afe033250157fd1dd7b,6.383263958035968,-45.120385231314295,0.12004361295324195,2959.1610479530004,-0.12004361295324195,319.0,0.0,-0.06223649418907171,1.0,0,-105.27402274063746,0.36546846359957197,13892.795774832384,-0.36546846359957197,1361.0,0.0,-114.55250032739912,-2.7254165244125956,-0.1452090018950186,0,0,0,99d6d60f-c4ba-4ff6-ae31-386b8f1f9082,written,True,47
101,21,2.5,0.25,0.0025,0.97,3cd41259fd221f9f9a1f4febfea86d43b8b7403fd05c207e7ecc0ff134b98b4d,579118e927029711da1a29952748d7c286ad6438a2ba5fc07ba1772432b54bca,6.5242738330271095,-46.592004667355496,0.12006427808190057,2973.4422995435725,-0.12006427808190057,357.0,0.0,-0.06426636237415403,1.0,0,-105.65031021780038,0.3581219175422937,13567.129547096018,-0.3581219175422937,1370.0,0.0,-115.26234196008095,-2.7796691287685977,-0.14572803144819754,0,0,0,bb1d94aa-f15a-4178-8a63-02e0749b1028,written,True,47
102,21,2.5,0.25,0.005,0.94,b0c4160f48bfbcf368d6fc1695014cc7e25d11647d7d2daca62b2d2089ac9080,e143e7cf61883ad5d7ffa4f0aaa96823861f27d15936a68208791ab3dc2349a8,6.201940749946516,-44.657026861380565,0.12004992248924207,2968.7099746368135,-0.12004992248924207,312.0,0.0,-0.0615973639965878,1.0,0,-104.34195120819139,0.38943912722968443,15028.1979913612,-0.38943912722968443,1333.0,0.0,-114.35595369994353,-2.5614532867595443,-0.14392335541360027,0,0,0,192592fa-2c52-44dc-9323-a40a593a2d72,written,True,47
103,21,2.5,0.25,0.005,0.97,180334eb44fc0ac45869529a64088d2bf6cbcdbfd64081696c55d710634f7900,879293ef74ade12216de9bd835039205ed16837b6f6e45347ed9a6abecfc1c09,6.056661207985599,-46.374386705488625,0.12009693825790058,2959.0267246589765,-0.12009693825790058,345.0,0.0,-0.06396619252964292,1.0,0,-105.02370947389234,0.3730143411710807,14279.901254272783,-0.3730143411710807,1348.0,0.0,-115.09967143258808,-2.6717160412385645,-0.14486373400576266,0,0,0,27ecc30d-c214-487d-a53e-6205b5ac5a8a,written,True,47
104,21,2.5,0.3,0.0025,0.94,bcb8a6dddfb3e99f25a5650d1cb6f4afeaea858b90283a9b4d5c1d8bd5ce5c73,b0d49a9eae973d3d8fdb12dfcd86ebcfc2e07bfef9a832a01b80cae5335eb064,6.401178916043136,-44.68908680427542,0.12009997993819488,2958.983165888506,-0.12009997993819488,295.0,0.0,-0.061641585659134523,1.0,0,-78.04540141521555,0.25882694136963,9174.04520347622,-0.25882694136963,706.0,0.0,-85.20113135042668,-3.762630832501222,-0.10765138964927996,0,0,0,5e7f13b3-d2ad-460b-999b-866a0a74acae,written,True,47
105,21,2.5,0.3,0.0025,0.97,aeb2add7e946c975a64647f257d5943d78f476fe7676ab640665ec7fd1517cc5,15136a1f71b5412030db58c87ea82281642d74810fa9ffc9ac923643bc66f7e7,6.528021332982462,-45.97159407400778,0.12020004721288391,2940.174959902235,-0.12020004721288391,315.0,0.0,-0.06341060327347761,1.0,0,-78.28708601650789,0.2532016898404681,9003.588855436115,-0.2532016898404681,709.0,0.0,-85.36895393900727,-3.836278095031325,-0.10798475564797004,0,0,0,30213e38-7941-468e-9c00-b465560ca1dc,written,True,47
106,21,2.5,0.3,0.005,0.94,5a8c86f0eb7a238a99507037119f1d05999c232604a814b6e1403d986ee649e9,8e9099a35baf20e8da7002aa3475ef36bb25edf02f1ce0663b39117e5ede4a5a,6.5034985420061275,-44.57653728267251,0.12001936451834339,2956.2120869089767,-0.12001936451834339,292.0,0.0,-0.06148634124773795,1.0,1,-77.99919979635652,0.2662722313806337,9453.023296202346,-0.2662722313806337,705.0,0.0,-85.37151329940059,-3.668767798707398,-0.10758766176289546,0,0,0,ad32c793-847f-4d9d-bb4f-5136c17a1e53,written,True,47
107,21,2.5,0.3,0.005,0.97,263555ceb42e8ccbe0557e77fd25f7c5994c1721262b019e1afed237a3ded8c4,3d85b4b2bdf691df2a8826e4d8a3eaa085e0ac501f4c12b598b80f7b5e8a994e,6.212634125025943,-45.9026836198018,0.12010263450088388,2939.0259703252227,-0.12010263450088388,314.0,0.0,-0.06331555211066571,1.0,1,-78.41856144063857,0.2558351638451365,9088.6165583515,-0.2558351638451365,706.0,0.0,-85.6157196489654,-3.801500314212252,-0.1081661053733318,0,0,0,46cd53d4-db94-4b99-85bf-2099c280598b,written,True,47
