scope,variant,n_trades,n_fills,fills_per_day,fills_per_bar,notional_per_fill_over_equity,fees,fees_per_day_pct,turnover,total_return,max_drawdown,sharpe,share_halted,share_cooldown,days,analytic_at_measured_pct,brief_scenario_at_measured_size_pct
oos,with,733,1420,47.339908320600074,0.032874936333750056,0.6122305709330985,3477.4696429,1.1593175639616613,10830.058408235369,-0.29852355020344146,0.29865732019687996,-72.56796301043796,0.0,0.0,29.995833333333337,1.159317563961661,70.52896177149294
oos,without,794,1576,52.54063064314487,0.0364865490577395,0.5983909946833756,3772.256830484,1.2575936092737325,11767.284976181512,-0.3192786793716228,0.3194084914082497,-98.85977354421951,0.0,0.0,29.995833333333337,1.2575936092737325,68.93464258752488
full,with,1084,2099,47.023974360968936,0.03265553775067287,0.5291436144483087,4442.689786908,0.9952974303635079,12262.605356651615,-0.4467249606407758,0.4467883566707892,-79.62739427080552,0.0,0.0,44.636805555555554,0.9952974303635079,60.957344384445165
full,without,1181,2344,52.512718390715186,0.03646716554910777,0.5044012459475256,4729.266082004,1.0594992233747313,13467.925282492844,-0.47858514939360763,0.47858514939360763,-105.54368283997098,0.0,0.0,44.636805555555554,1.0594992233747313,58.107023533154944
