scope,subset,n,zero_share,m_mean,m_std,m_skew,m_kurt,m_excess_kurt,m_min,m_max,s_hist_var,s_hist_cvar,s_param_var,s_m,s_hist_var_money,s_hist_cvar_money,s_param_var_money,s_hist_exceed_rate,s_param_exceed_rate,s_cvar_over_param_var,s_hist_var_over_param_var,hist_breaches,hist_n,hist_rate,hist_expected,hist_lr,hist_critical,hist_reject,hist_var_median,hist_var_zero_share,param_breaches,param_n,param_rate,param_expected,param_lr,param_critical,param_reject,param_var_median,param_var_zero_share
oos,all,43194,0.9270037505209057,-6.090554347472152e-06,6.343291861145788e-05,-4.8403561354276645,77.6368500347723,74.6368500347723,-0.0014822515786119261,0.0008940542848490107,-0.0,0.0001867337876380785,0.000104337866246174,2159,-0.0,1.867337876380785,1.04337866246174,0.04882622586470343,0.030907070426448118,1.789702955947941,-0.0,1773,42694,0.04152808357146203,2134.7000000000003,68.29015182326475,3.8414588206941227,True,0.0,0.6076263643603317,1547,42694,0.03623459970956106,2134.7000000000003,187.58042247040976,3.8414588206941227,True,8.657936132809068e-05,0.02510891460158336
oos,active,3178,0.007866582756450597,-8.27801776226281e-05,0.0002198964182694546,-0.4912926500147623,5.880719515132736,2.8807195151327356,-0.0014822515786119261,0.0008940542848490107,0.0004511567357455837,0.0006260976891471737,0.0003616974211441502,158,4.511567357455837,6.260976891471738,3.6169742114415024,0.04940213971050975,0.0881057268722467,1.7309984880916525,1.24733191162505,155,2678,0.0578790141896938,133.9,3.3383607680743808,3.8414588206941227,False,0.0004614849985076219,0.0,246,2678,0.09185959671396565,133.9,80.06685793792872,3.8414588206941227,True,0.00037950121336509103,0.0
full,all,64277,0.9731630287661216,-1.9882054921251206e-06,2.915205001597919e-05,-13.305359941538978,320.5999829418597,317.5999829418597,-0.0012123280568996364,0.0005356148766915148,-0.0,5.156853134020276e-05,4.7950855201854076e-05,3213,-0.0,0.5156853134020276,0.47950855201854076,0.018218025110070476,0.013021765172612287,1.0754454977522236,-0.0,990,63777,0.015522837386518652,3188.8500000000004,2160.524739249626,3.8414588206941227,True,0.0,0.8400050174827915,860,63777,0.013484485002430343,3188.8500000000004,2492.058369612203,3.8414588206941227,True,0.0,0.5994010379917525
full,active,1768,0.024321266968325792,-7.228274005504886e-05,0.00016071623340782273,-1.493061865523358,8.833409642641923,5.833409642641923,-0.0012123280568996364,0.0005356148766915148,0.00036482074110122387,0.0005351142890516709,0.00026435467943083647,88,3.6482074110122387,5.351142890516709,2.6435467943083646,0.04920814479638009,0.09785067873303167,2.0242285485688694,1.3800426831357546,31,1268,0.02444794952681388,63.400000000000006,21.304196899415558,3.8414588206941227,True,0.0002807009398833049,0.0,101,1268,0.07965299684542587,63.400000000000006,20.048684164378983,3.8414588206941227,True,0.00017765337195187867,0.0
