p,T_median_s,T_all_s,S,amdahl_bound,efficiency,karp_flatt,startup_s,compute_s,ideal_parallel_s,makespan_s,imbalance_s,residual_s,pickle_serial_s,cpu_inflation,processes_used
1,49.57991587498691,49.4144 49.8487 49.5799,1.0,1.0,1.0,,0.1734195839962922,49.35350670781918,49.35350670781918,49.35350670781918,0.0,0.052989583171438426,0.006814000196754932,1.0,1.0
2,25.755927333026193,25.6054 25.7559 26.0974,1.9249905170920327,1.752484475641343,0.9624952585460164,0.03896615710153184,0.1813719579949975,50.98010966804577,25.490054834022885,25.51827758399304,0.028222749970154837,0.056277791038155556,0.006814000196754932,1.0329582043654233,2.0
4,15.658867207996082,14.7289 15.6589 15.6778,3.1662517611535335,2.809559386513107,0.7915629402883834,0.08777447296681107,0.20389237499330193,60.67309604201,15.1682740105025,15.32027841603849,0.15200440553599037,0.1346964169642888,0.006814000196754932,1.2293573464030558,4.0
8,12.861279874981847,12.0835 12.8613 12.9454,3.854975271273839,4.022812366036975,0.4818719089092299,0.15360575571794888,0.34487820899812505,96.52262470888672,12.06532808861084,12.468638374994043,0.40331028638320277,0.04776329098967835,0.006814000196754932,1.9557399493478027,8.0
