variant,label,scope,sharpe,sharpe_fold_mean,total_return,max_drawdown,turnover,fees,funding,slippage_cost,gross_pnl,n_trades,n_fills,fees_per_day_pct,psr,exposure,days,n_segments,halted_segments,share_halted,share_cooldown,config_hash,note
zero,zero (без витрат),oos,3.376341244573485,3.1468611410486127,0.0109878146839415,0.007896143094271224,10106.38647487744,0.0,0.0,0.0,109.46215000000001,733,1420,0.0,0.8340477080017596,0.05766203703703704,29.995833333333337,6,0,0.0,0.0,4b178e7f2de85e7d2c5a5100e22e3dd015cc0feda02123c67949e4b966547054,
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,0.9161745666093204,0.736464100027614,0.0029567569123105653,0.008926336786038491,10103.949891097725,0.0,0.0,79.843714256271,29.60835,733,1420,0.0,0.6036405649099936,0.05766203703703704,29.995833333333337,6,0,0.0,0.0,2850acdf86c8f4b187815d5bf7c2347ae485f361e62bed6a41efad43867335ee,
full,full (√-імпакт + комісії + фандинг),oos,-69.60970719567928,-69.90723556493629,-0.2313834920088793,0.23153006546157395,8110.544569858503,2615.470369432,0.1679649161917,54.4375412627413,43.59526,733,1420,0.8719445598884289,0.0,0.05766203703703704,29.995833333333337,6,0,0.0,0.0,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,
zero,zero (без витрат),full,2.877401500470901,2.877401500470901,0.014071219000010737,0.008084396815763562,11822.916614524596,0.0,0.0,0.0,140.71219,1084,2099,0.0,0.8434074308556921,0.05544665359843181,44.636805555555554,1,0,0.0,0.0,4b178e7f2de85e7d2c5a5100e22e3dd015cc0feda02123c67949e4b966547054,
sqrt_impact,sqrt_impact (спред + √-імпакт),full,-0.7037180616323736,-0.7037180616323736,-0.0035637630000057152,0.00971772666084636,11828.368091232878,0.0,0.0,174.8975619787807,-35.63763,1084,2099,0.0,0.40285108470067754,0.05544665359843181,44.636805555555554,1,0,0.0,0.0,2850acdf86c8f4b187815d5bf7c2347ae485f361e62bed6a41efad43867335ee,
full,full (√-імпакт + комісії + фандинг),full,-49.444711476138956,-49.444711476138956,-0.1199911641814938,0.12009199841871543,2662.0005507202077,1167.009865552,0.265636262945,27.9394181369988,-32.63614,437,847,0.2614456502940212,0.0,0.021126979682006285,44.636805555555554,1,1,0.595740377734217,0.25066119045396557,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,
