variant,label,scope,sharpe,sharpe_fold_mean,total_return,max_drawdown,turnover,fees,funding,slippage_cost,gross_pnl,n_trades,n_fills,fees_per_day_pct,psr,exposure,days,n_segments,halted_segments,share_halted,share_cooldown,config_hash,note
zero,zero (без витрат),oos,5.178566343425379,5.479294091786261,0.014398635778358981,0.005357702624580241,10395.965351111909,0.0,0.0,0.0,143.2223,673,1314,0.0,0.9316849868505979,0.05460648148148148,29.995833333333337,6,0,0.0,0.0,913564a422fe0208b6ef3cf4de5220297144b9c02ae755a51b89337e81f835b3,
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,2.755921820673352,3.028758262085941,0.00772061275574365,0.005968876439111259,10395.059132350123,0.0,0.0,66.234194386567,77.0316,673,1314,0.0,0.785538093500969,0.05460648148148148,29.995833333333337,6,0,0.0,0.0,544078aeb01c1a6ad5e2e3915ae300d7a95357746c3da6c5d19b35cda2a92ae7,
full,full (√-імпакт + комісії + фандинг),oos,-76.61662488727531,-76.3808851424949,-0.2387219507149032,0.2387219507149032,8453.585677208308,2716.4010382,-0.16810532427,50.824349998737,53.296099999999996,669,1307,0.905592789509654,0.0,0.054375,29.995833333333337,6,0,0.0,0.003148148148148148,bdfa3fef3871f8bbd188a2ee0326489e224a49b5e4e06ca096633f92842938ee,
zero,zero (без витрат),full,7.346850510819266,7.346850510819266,0.03187743000000487,0.007064650538969541,11983.792173056498,0.0,0.0,0.0,318.7743,981,1919,0.0,0.9952171675393884,0.05183733159090202,44.636805555555554,1,0,0.0,0.0,913564a422fe0208b6ef3cf4de5220297144b9c02ae755a51b89337e81f835b3,
sqrt_impact,sqrt_impact (спред + √-імпакт),full,4.6050720266111576,4.6050720266111576,0.02002820999999977,0.009489037764780162,11987.001855042667,0.0,0.0,116.193038324017,200.2821,981,1919,0.0,0.9471393782588633,0.05183733159090202,44.636805555555554,1,0,0.0,0.0,544078aeb01c1a6ad5e2e3915ae300d7a95357746c3da6c5d19b35cda2a92ae7,
full,full (√-імпакт + комісії + фандинг),full,-46.38548890990067,-46.38548890990067,-0.12012743879288312,0.12012743879288312,2932.57155306787,1284.47358184,-0.539393911161,13.897313173208,82.6598,314,616,0.28776108994657495,0.0,0.015432963066679113,44.636805555555554,1,1,0.6635707395998631,0.18222408911291577,bdfa3fef3871f8bbd188a2ee0326489e224a49b5e4e06ca096633f92842938ee,
