scope,variant,n_trades,n_fills,fills_per_day,fills_per_bar,notional_per_fill_over_equity,fees,fees_per_day_pct,turnover,total_return,max_drawdown,sharpe,share_halted,share_cooldown,days,analytic_at_measured_pct,brief_scenario_at_measured_size_pct
oos,with,673,1314,43.8060841783581,0.030420891790526462,0.7078638450152207,3720.5323694,1.2403497272621196,11636.716566004658,-0.3121977826079051,0.3121977826079051,-78.51043871664189,0.0,0.0,29.995833333333337,1.2403497272621198,81.54591494575342
oos,without,751,1494,49.80691762744825,0.03458813724128351,0.6874151516800535,4107.99294644,1.369521193423531,12912.27913886743,-0.3442154237103241,0.3442154237103241,-105.94865575196566,0.0,0.0,29.995833333333337,1.3695211934235312,79.19022547354217
full,with,981,1919,42.991427726869645,0.029855158143659473,0.595772207915581,4573.14746796,1.02452391273121,12383.294736095328,-0.4375955294807321,0.4375955294807321,-82.05115018729896,0.0,0.0,44.636805555555554,1.0245239127312105,68.63295835187493
full,without,1082,2154,48.25614138805483,0.03351120929726029,0.5608951723444754,4832.67280492,1.0826654696212954,13574.339146868811,-0.48032028680527306,0.48032028680527306,-108.0780419061821,0.0,0.0,44.636805555555554,1.0826654696212954,64.61512385408356
